# Backtest Dashboard Export
# strategy_name: Hierarchical_Adaptive_v3_5d
# start_date: 2010-01-01
# end_date: 2026-01-20
# initial_capital: 10000.00
# total_return: 8655.13
# annualized_return: 32.15
# sharpe_ratio: 1.11
# max_drawdown: -26.84
# alpha: 7.15
# baseline_ticker: QQQ
Date,Portfolio_Value,Baseline_Value,BuyHold_Value,Regime,Trend,Vol
2010-01-05,10000.00,10000.00,10000.00,3,Sideways,Low
2010-01-06,10000.00,10000.00,9939.68,3,Sideways,Low
2010-01-07,10000.00,9939.68,9946.14,3,Sideways,Low
2010-01-08,10000.00,9946.14,10028.01,3,Sideways,Low
2010-01-08,10000.00,10028.01,10028.01,3,Sideways,Low
2010-01-12,9995.15,9987.07,9862.13,1,BullStrong,Low
2010-01-13,9945.27,9862.13,9984.92,1,BullStrong,Low
2010-01-14,9994.29,9984.92,9993.54,1,BullStrong,Low
2010-01-15,9997.73,9993.54,9877.21,1,BullStrong,Low
2010-01-15,9951.29,9877.21,9877.21,1,BullStrong,Low
2010-01-19,9951.29,,10036.62,1,BullStrong,Low
2010-01-20,10014.93,10036.62,9892.29,1,BullStrong,Low
2010-01-21,9957.31,9892.29,9799.66,1,BullStrong,Low
2010-01-22,9920.33,9799.66,9513.14,1,BullStrong,Low
2010-01-22,9805.95,9513.14,9513.14,1,BullStrong,Low
2010-01-26,9818.85,9545.45,9554.07,1,BullStrong,Low
2010-01-27,9822.29,9554.07,9629.47,1,BullStrong,Low
2010-01-28,9852.39,9629.47,9381.73,1,BullStrong,Low
2010-01-29,9753.49,9381.73,9218.01,1,BullStrong,Low
2010-01-29,9688.13,9218.01,9218.01,1,BullStrong,Low
2010-02-02,9728.55,9319.26,9403.27,1,BullStrong,Low
2010-02-03,9762.09,9403.27,9454.98,1,BullStrong,Low
2010-02-04,9777.78,9454.98,9181.39,3,Sideways,Low
2010-02-05,9551.72,9181.39,9258.94,3,Sideways,Low
2010-02-05,9615.80,9258.94,9258.94,3,Sideways,Low
2010-02-09,9560.62,9192.16,9286.95,3,Sideways,Low
2010-02-10,9638.94,9286.95,9267.56,3,Sideways,Low
2010-02-11,9622.92,9267.56,9407.58,3,Sideways,Low
2010-02-12,9680.19,9407.58,9426.97,4,Sideways,High
2010-02-12,9680.19,9426.97,9426.97,4,Sideways,High
2010-02-16,9649.69,,9547.61,4,Sideways,High
2010-02-17,9769.19,9547.61,9601.46,4,Sideways,High
2010-02-18,9810.19,9601.46,9661.78,4,Sideways,High
2010-02-19,9757.19,9661.78,9657.48,4,Sideways,High
2010-02-19,9757.19,9657.48,9657.48,4,Sideways,High
2010-02-23,9632.69,9638.09,9513.14,4,Sideways,High
2010-02-24,9594.14,9513.14,9610.08,3,Sideways,Low
2010-02-25,9672.83,9610.08,9607.93,3,Sideways,Low
2010-02-26,9554.55,9607.93,9642.40,1,BullStrong,Low
2010-02-26,9568.47,9642.40,9642.40,1,BullStrong,Low
2010-03-02,9929.72,9782.42,9812.58,1,BullStrong,Low
2010-03-03,9946.35,9812.58,9823.35,1,BullStrong,Low
2010-03-04,10028.94,9823.35,9855.67,1,BullStrong,Low
2010-03-05,10323.14,9855.67,10004.31,1,BullStrong,Low
2010-03-05,10383.17,10004.31,10004.31,1,BullStrong,Low
2010-03-09,10522.69,10023.70,10079.71,1,BullStrong,Low
2010-03-10,10708.16,10079.71,10161.57,1,BullStrong,Low
2010-03-11,10809.28,10161.57,10200.34,1,BullStrong,Low
2010-03-12,10831.31,10200.34,10202.50,1,BullStrong,Low
2010-03-12,10832.18,10202.50,10202.50,1,BullStrong,Low
2010-03-16,10901.89,10176.65,10241.28,1,BullStrong,Low
2010-03-17,10969.98,10241.28,10269.28,1,BullStrong,Low
2010-03-18,11061.43,10269.28,10303.75,1,BullStrong,Low
2010-03-19,10952.58,10303.75,10230.50,1,BullStrong,Low
2010-03-19,10923.00,10230.50,10230.50,1,BullStrong,Low
2010-03-23,11287.37,10323.14,10394.77,1,BullStrong,Low
2010-03-24,11194.16,10394.77,10344.68,1,BullStrong,Low
2010-03-25,11144.03,10344.68,10329.60,1,BullStrong,Low
2010-03-26,11174.22,10329.60,10340.37,1,BullStrong,Low
2010-03-26,11178.57,10340.37,10340.37,1,BullStrong,Low
2010-03-30,11363.31,10389.92,10424.39,1,BullStrong,Low
2010-03-31,11272.93,10424.39,10374.84,1,BullStrong,Low
2010-04-01,11264.35,10374.84,10374.84,1,BullStrong,Low
2010-04-01,11264.35,10374.84,10374.84,1,BullStrong,Low
2010-04-06,11549.07,10471.78,10501.94,1,BullStrong,Low
2010-04-07,11509.71,10501.94,10476.09,1,BullStrong,Low
2010-04-08,11536.79,10476.09,10499.78,1,BullStrong,Low
2010-04-09,11697.12,10499.78,10562.26,1,BullStrong,Low
2010-04-09,11722.35,10562.26,10562.26,1,BullStrong,Low
2010-04-13,11835.26,10570.87,10624.73,1,BullStrong,Low
2010-04-14,12140.07,10624.73,10751.83,1,BullStrong,Low
2010-04-15,12303.99,10751.83,10799.22,1,BullStrong,Low
2010-04-16,12022.26,10799.22,10669.97,1,BullStrong,Low
2010-04-16,11970.06,10669.97,10669.97,1,BullStrong,Low
2010-04-20,12087.04,10663.51,10717.36,1,BullStrong,Low
2010-04-21,12235.37,10717.36,10777.68,1,BullStrong,Low
2010-04-22,12383.77,10777.68,10838.00,1,BullStrong,Low
2010-04-23,12526.46,10838.00,10883.24,1,BullStrong,Low
2010-04-23,12544.73,10883.24,10883.24,1,BullStrong,Low
2010-04-27,11955.65,10859.54,10629.04,1,BullStrong,Low
2010-04-28,11877.19,10629.04,10635.50,1,BullStrong,Low
2010-04-29,12279.92,10635.50,10820.77,1,BullStrong,Low
2010-04-30,11861.75,10820.77,10606.96,1,BullStrong,Low
2010-04-30,11775.41,10606.96,10606.96,1,BullStrong,Low
2010-05-04,11537.20,10756.14,10433.00,3,Sideways,Low
2010-05-05,11223.10,10433.00,10379.15,3,Sideways,Low
2010-05-06,10957.97,10379.15,10032.31,3,Sideways,Low
2010-05-07,10688.93,10032.31,9782.42,4,Sideways,High
2010-05-07,10680.30,9782.42,9782.42,4,Sideways,High
2010-05-11,10377.68,10290.82,10280.05,4,Sideways,High
2010-05-12,10265.18,10280.05,10473.93,4,Sideways,High
2010-05-13,10357.43,10473.93,10308.06,4,Sideways,High
2010-05-14,10576.80,10308.06,10109.87,4,Sideways,High
2010-05-14,10576.80,10109.87,10109.87,4,Sideways,High
2010-05-18,10736.55,10142.18,10002.15,4,Sideways,High
2010-05-19,10788.30,10002.15,9922.45,4,Sideways,High
2010-05-20,11068.43,9922.45,9554.07,4,Sideways,High
2010-05-21,11093.63,9554.07,9659.63,4,Sideways,High
2010-05-21,11093.63,9659.63,9659.63,4,Sideways,High
2010-05-25,11099.94,9620.85,9629.47,4,Sideways,High
