Date,Regime,Trend,Vol,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Baseline_QQQ_Value,Baseline_QQQ_Return_Pct,Cash,BuyHold_QQQ_Value,QQQ_Qty,QQQ_Value,TMF_Qty,TMF_Value,TMV_Qty,TMV_Value,TQQQ_Qty,TQQQ_Value,Ind_Bond_SMA_fast,Ind_Bond_SMA_slow,Ind_SMA_fast,Ind_SMA_slow,Ind_T_norm,Ind_vol_crush,Ind_z_score
2010-01-04,Cell_3,Sideways,Low,10000.00,0.0000,0.0000,0.0000,10000.00,0.0000,10000.00,10000.00,0,0.00,0,0.00,0,0.00,0,0.00,,,,,,0.000000,
2010-01-05,Cell_3,Sideways,Low,10000.00,0.0000,0.0000,0.0000,10000.00,0.0000,10000.00,10000.00,0,0.00,0,0.00,0,0.00,0,0.00,,,,,,0.000000,
2010-01-06,Cell_3,Sideways,Low,10000.00,0.0000,0.0000,0.0000,9939.68,-0.6032,10000.00,9939.68,0,0.00,0,0.00,0,0.00,0,0.00,,,,,,0.000000,
2010-01-07,Cell_3,Sideways,Low,10000.00,0.0000,0.0000,0.0000,9946.14,-0.5386,10000.00,9946.14,0,0.00,0,0.00,0,0.00,0,0.00,,,,,,0.000000,
2010-01-08,Cell_3,Sideways,Low,10000.00,0.0000,0.0000,0.0000,10028.01,0.2801,10000.00,10028.01,0,0.00,0,0.00,0,0.00,0,0.00,,,,,,0.000000,
2010-01-11,Cell_1,BullStrong,Low,9995.15,-0.0485,-0.0485,-0.0485,9987.07,-0.1293,6008.19,9987.07,86,3986.96,0,0.00,0,0.00,0,0.00,91.360500,94.319000,44.728875,41.457679,1.000000,0.000000,-1.254873
2010-01-12,Cell_1,BullStrong,Low,9945.27,-0.4990,-0.5473,-0.5473,9862.13,-1.3787,6008.19,9862.13,86,3937.08,0,0.00,0,0.00,0,0.00,91.159500,94.221333,44.782125,41.534679,1.000000,0.000000,-1.112235
2010-01-13,Cell_1,BullStrong,Low,9994.29,0.4929,-0.0571,-0.0571,9984.92,-0.1508,6008.19,9984.92,86,3986.10,0,0.00,0,0.00,0,0.00,90.956000,94.101333,44.840625,41.611536,1.000000,0.000000,-1.067096
2010-01-14,Cell_1,BullStrong,Low,9997.73,0.0344,-0.0227,-0.0227,9993.54,-0.0646,6008.19,9993.54,86,3989.54,0,0.00,0,0.00,0,0.00,90.802000,93.997500,44.888875,41.683679,1.000000,0.000000,-1.110554
2010-01-15,Cell_1,BullStrong,Low,9951.29,-0.4645,-0.4871,-0.4871,9877.21,-1.2279,6008.19,9877.21,86,3943.10,0,0.00,0,0.00,0,0.00,90.697500,93.882500,44.920125,41.751393,1.000000,0.000000,-1.023306
2010-01-19,Cell_1,BullStrong,Low,10014.93,0.6395,0.1493,0.1493,10036.62,0.3662,6008.19,10036.62,86,4006.74,0,0.00,0,0.00,0,0.00,90.697500,93.882500,44.976050,41.823821,1.000000,0.000000,-0.888427
2010-01-20,Cell_1,BullStrong,Low,9957.31,-0.5753,-0.4269,-0.4269,9892.29,-1.0771,6008.19,9892.29,86,3949.12,0,0.00,0,0.00,0,0.00,90.679500,93.765667,45.032550,41.891964,1.000000,0.000000,-0.840809
2010-01-21,Cell_1,BullStrong,Low,9920.33,-0.3714,-0.7967,-0.7967,9799.66,-2.0034,6008.19,9799.66,86,3912.14,0,0.00,0,0.00,0,0.00,90.683000,93.657333,45.083800,41.956893,1.000000,0.000000,-0.874970
2010-01-22,Cell_1,BullStrong,Low,9805.95,-1.1530,-1.9405,-1.9405,9513.14,-4.8686,6008.19,9513.14,86,3797.76,0,0.00,0,0.00,0,0.00,90.693500,93.529000,45.084300,42.018036,0.699016,0.000000,-0.343717
2010-01-25,Cell_1,BullStrong,Low,9818.85,0.1316,-1.8115,-1.8115,9545.45,-4.5455,6008.19,9545.45,86,3810.66,0,0.00,0,0.00,0,0.00,90.693500,93.529000,45.092300,42.081607,0.441399,0.000000,-0.353901
2010-01-26,Cell_1,BullStrong,Low,9822.29,0.0350,-1.7771,-1.7771,9554.07,-4.4593,6008.19,9554.07,86,3814.10,0,0.00,0,0.00,0,0.00,90.690000,93.405667,45.096550,42.151750,0.224305,0.000000,-0.390826
