Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$132,188.71","$886,884.64","+$754,695.93"
Performance,Total_Return,1221.89%,8768.85%,+7546.96%
Performance,Annualized_Return,17.58%,32.50%,+14.92%
Risk,Sharpe_Ratio,0.75,1.18,+0.43
Risk,Max_Drawdown,-35.62%,-28.63%,+6.99%
Risk,Beta_vs_QQQ,1.00,-0.016,-1.016
Risk,Beta_vs_SPY,N/A,-0.026,N/A
Trading,Win_Rate,N/A,33.94%,N/A
Trading,Total_Fills,N/A,551,N/A
Trading,Closed_Trades,N/A,277,N/A
Comparison,Alpha,1.00x,7.18x,+617.65%
Comparison,Excess_Return,0.00%,+7546.96%,+7546.96%
Comparison,Return_Ratio,1.00:1,7.18:1,N/A
