Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_SMA_fast,Indicator_SMA_slow,Indicator_T_norm,Indicator_z_score,Threshold_leverage_scalar,Threshold_lower_thresh_z,Threshold_upper_thresh_z,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
1,2010-01-11 06:00:00-08:00,897,v3.5b Cell 1: BullStrong/Low,QQQ,BUY,"Kalman T_norm=1.000, SMA_fast=44.73 vs SMA_slow=41.46, z_score=-1.255, vol_crush=False",44.728875,41.45767857142857,1.0,-1.2548731728657432,1.0,0.2,1.0,MARKET,86,46.40636,3990.94696,0.0,0.86,10000.0,9995.15304,10000.0,6008.19304,CASH: 100.0%,"CASH: 60.1%, QQQ: 39.9%",-0.0484696
2,2010-01-28 06:00:00-08:00,951,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=-0.192, SMA_fast=45.13 vs SMA_slow=42.29, z_score=-0.028, vol_crush=False",45.12605,42.28582142857143,-0.19203460573567596,-0.028304239904226747,1.0,0.2,1.0,MARKET,93,43.59355,4054.20015,0.0,0.93,9753.49304,9748.51289,6008.19304,1953.06289,"CASH: 61.6%, QQQ: 38.4%","CASH: 20.0%, QQQ: 80.0%",-2.5148711
3,2010-02-11 06:00:00-08:00,996,v3.5b Cell 4: Sideways/High,QQQ,SELL,"Kalman T_norm=-1.000, SMA_fast=44.90 vs SMA_slow=42.71, z_score=1.160, vol_crush=False",44.9,42.71432142857143,-1.0,1.1603257185742646,1.0,0.2,1.0,MARKET,179,43.62633,7809.11307,0.0,1.79,9769.99289,9760.38596,1953.06289,9760.38596,"CASH: 20.0%, QQQ: 80.0%",CASH: 100.0%,-2.3961404
4,2010-02-11 06:00:00-08:00,996,v3.5b Cell 4: Sideways/High,TMV,BUY,"Kalman T_norm=-1.000, SMA_fast=44.90 vs SMA_slow=42.71, z_score=1.160, vol_crush=False",44.9,42.71432142857143,-1.0,1.1603257185742646,1.0,0.2,1.0,MARKET,4,834.959125,3339.8365,0.0,0.04,9760.38596,9757.00946,9760.38596,6420.50946,CASH: 100.0%,"CASH: 65.8%, TMV: 34.2%",-2.4299054
5,2010-02-23 06:00:00-08:00,1029,v3.5b Cell 3: Sideways/Low,TMV,SELL,"Kalman T_norm=-0.026, SMA_fast=44.86 vs SMA_slow=42.97, z_score=0.255, vol_crush=True",44.8635,42.96689285714285,-0.02631966685909902,0.2549317678512925,1.0,0.2,1.0,MARKET,4,810.064125,3240.2565,0.0,0.04,9664.00946,9660.72596,6420.50946,9660.72596,"CASH: 66.4%, TMV: 33.6%",CASH: 100.0%,-3.3927404
6,2010-02-23 06:00:00-08:00,1029,v3.5b Cell 3: Sideways/Low,TQQQ,BUY,"Kalman T_norm=-0.026, SMA_fast=44.86 vs SMA_slow=42.97, z_score=0.255, vol_crush=True",44.8635,42.96689285714285,-0.02631966685909902,0.2549317678512925,1.0,0.2,1.0,MARKET,8289,0.223087865,1849.175312985,0.0,82.89,9660.72596,9575.988632015,9660.72596,7728.660647015,CASH: 100.0%,"CASH: 80.7%, TQQQ: 19.3%",-4.24011367985
7,2010-02-23 06:00:00-08:00,1029,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=-0.026, SMA_fast=44.86 vs SMA_slow=42.97, z_score=0.255, vol_crush=True",44.8635,42.96689285714285,-0.02631966685909902,0.2549317678512925,1.0,0.2,1.0,MARKET,173,44.20416,7647.31968,0.0,1.73,9575.988632015,9566.618952015,7728.660647015,79.610967015,"CASH: 80.7%, TQQQ: 19.3%","QQQ: 79.9%, TQQQ: 19.3%",-4.33381047985
8,2010-02-25 06:00:00-08:00,1041,v3.5b Cell 1: BullStrong/Low,QQQ,SELL,"Kalman T_norm=0.097, SMA_fast=44.79 vs SMA_slow=43.03, z_score=0.344, vol_crush=False",44.78875,43.03432142857143,0.0974839098342637,0.34427390780783496,1.0,0.2,1.0,MARKET,86,44.5554,3831.7644,0.0,0.86,9702.743023015,9698.047423015,79.610967015,3910.515367015,"QQQ: 79.5%, TQQQ: 19.7%","CASH: 40.3%, QQQ: 40.0%, TQQQ: 19.7%",-3.01952576985
9,2010-02-25 06:00:00-08:00,1041,v3.5b Cell 1: BullStrong/Low,TQQQ,BUY,"Kalman T_norm=0.097, SMA_fast=44.79 vs SMA_slow=43.03, z_score=0.344, vol_crush=False",44.78875,43.03432142857143,0.0974839098342637,0.34427390780783496,1.0,0.2,1.0,MARKET,16271,0.230334104,3747.766206184,0.0,162.71,9698.047423015,9531.593400831,3910.515367015,0.039160831,"CASH: 40.3%, QQQ: 40.0%, TQQQ: 19.7%","QQQ: 40.7%, TQQQ: 59.3%",-4.68406599169
10,2010-04-27 05:00:00-07:00,1257,v3.5b Cell 3: Sideways/Low,TQQQ,SELL,"Kalman T_norm=-0.002, SMA_fast=48.27 vs SMA_slow=45.24, z_score=-1.007, vol_crush=False",48.2743125,45.24419642857143,-0.0016737443374542369,-1.0068760921739766,1.0,0.2,1.0,MARKET,16894,0.309586104,5230.147640976,0.0,168.94,11903.664920831,11729.489537807,0.039160831,5061.246801807,"QQQ: 36.1%, TQQQ: 63.9%","CASH: 43.1%, QQQ: 36.6%, TQQQ: 20.3%",17.29489537807
