Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Cash,BuyHold_QQQ_Value,QQQ_Qty,QQQ_Value,TQQQ_Qty,TQQQ_Value
2024-09-02,10000.00,0.0000,0.0000,0.0000,10000.00,10000.00,0,0.00,0,0.00
2024-09-02,10000.00,0.0000,0.0000,0.0000,10000.00,10000.00,0,0.00,0,0.00
2024-09-02,10000.00,0.0000,0.0000,0.0000,10000.00,10000.00,0,0.00,0,0.00
2024-09-02,10000.00,0.0000,0.0000,0.0000,10000.00,10000.00,0,0.00,0,0.00
2024-09-03,10000.00,0.0000,0.0000,0.0000,10000.00,9974.02,0,0.00,0,0.00
2024-09-03,10000.00,0.0000,0.0000,0.0000,10000.00,9974.02,0,0.00,0,0.00
2024-09-03,10000.00,0.0000,0.0000,0.0000,10000.00,9974.02,0,0.00,0,0.00
2024-09-03,10000.00,0.0000,0.0000,0.0000,10000.00,9974.02,0,0.00,0,0.00
2024-09-04,10000.00,0.0000,0.0000,0.0000,10000.00,9983.33,0,0.00,0,0.00
2024-09-04,10000.00,0.0000,0.0000,0.0000,10000.00,9983.33,0,0.00,0,0.00
2024-09-04,10000.00,0.0000,0.0000,0.0000,10000.00,9983.33,0,0.00,0,0.00
2024-09-04,10000.00,0.0000,0.0000,0.0000,10000.00,9983.33,0,0.00,0,0.00
2024-09-05,10000.00,0.0000,0.0000,0.0000,10000.00,9715.90,0,0.00,0,0.00
2024-09-05,10000.00,0.0000,0.0000,0.0000,10000.00,9715.90,0,0.00,0,0.00
2024-09-05,10000.00,0.0000,0.0000,0.0000,10000.00,9715.90,0,0.00,0,0.00
2024-09-05,10000.00,0.0000,0.0000,0.0000,10000.00,9715.90,0,0.00,0,0.00
2024-09-08,10000.00,0.0000,0.0000,0.0000,10000.00,9840.84,0,0.00,0,0.00
2024-09-08,10000.00,0.0000,0.0000,0.0000,10000.00,9840.84,0,0.00,0,0.00
2024-09-08,10000.00,0.0000,0.0000,0.0000,10000.00,9840.84,0,0.00,0,0.00
2024-09-08,10000.00,0.0000,0.0000,0.0000,10000.00,9840.84,0,0.00,0,0.00
2024-09-09,10000.00,0.0000,0.0000,0.0000,10000.00,9931.79,0,0.00,0,0.00
2024-09-09,10000.00,0.0000,0.0000,0.0000,10000.00,9931.79,0,0.00,0,0.00
2024-09-09,10000.00,0.0000,0.0000,0.0000,10000.00,9931.79,0,0.00,0,0.00
2024-09-09,10000.00,0.0000,0.0000,0.0000,10000.00,9931.79,0,0.00,0,0.00
2024-09-10,10000.00,0.0000,0.0000,0.0000,10000.00,10147.46,0,0.00,0,0.00
2024-09-10,10000.00,0.0000,0.0000,0.0000,10000.00,10147.46,0,0.00,0,0.00
2024-09-10,10000.00,0.0000,0.0000,0.0000,10000.00,10147.46,0,0.00,0,0.00
2024-09-10,10000.00,0.0000,0.0000,0.0000,10000.00,10147.46,0,0.00,0,0.00
2024-09-11,10000.00,0.0000,0.0000,0.0000,10000.00,10247.07,0,0.00,0,0.00
2024-09-11,10000.00,0.0000,0.0000,0.0000,10000.00,10247.07,0,0.00,0,0.00
2024-09-11,10000.00,0.0000,0.0000,0.0000,10000.00,10247.07,0,0.00,0,0.00
2024-09-11,10000.00,0.0000,0.0000,0.0000,10000.00,10247.07,0,0.00,0,0.00
2024-09-12,10000.00,0.0000,0.0000,0.0000,10000.00,10292.98,0,0.00,0,0.00
