Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$25,412.61","$33,139.62","+$7,727.01"
Performance,Total_Return,154.13%,231.40%,+77.27%
Performance,Annualized_Return,20.52%,27.10%,+6.58%
Risk,Sharpe_Ratio,N/A,5.34,N/A
Risk,Max_Drawdown,N/A,-4.95%,N/A
Trading,Win_Rate,N/A,28.95%,N/A
Trading,Total_Trades,N/A,114,N/A
Comparison,Alpha,1.00x,1.50x,+50.13%
Comparison,Excess_Return,0.00%,+77.27%,+77.27%
Comparison,Return_Ratio,1.00:1,1.50:1,N/A
