Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Cash,BuyHold_QQQ_Value,QQQ_Qty,QQQ_Value,TQQQ_Qty,TQQQ_Value
2010-04-04,10000.00,0.0000,0.0000,0.0000,10000.00,10000.00,0,0.00,0,0.00
2010-04-05,10000.00,0.0000,0.0000,0.0000,10000.00,10028.80,0,0.00,0,0.00
2010-04-06,10000.00,0.0000,0.0000,0.0000,10000.00,10004.11,0,0.00,0,0.00
2010-04-07,10000.00,0.0000,0.0000,0.0000,10000.00,10026.74,0,0.00,0,0.00
2010-04-08,10000.00,0.0000,0.0000,0.0000,10000.00,10086.40,0,0.00,0,0.00
2010-04-11,10000.00,0.0000,0.0000,0.0000,10000.00,10094.63,0,0.00,0,0.00
2010-04-12,10000.00,0.0000,0.0000,0.0000,10000.00,10146.06,0,0.00,0,0.00
2010-04-13,10000.00,0.0000,0.0000,0.0000,10000.00,10267.43,0,0.00,0,0.00
2010-04-14,10000.00,0.0000,0.0000,0.0000,10000.00,10312.69,0,0.00,0,0.00
2010-04-15,10000.00,0.0000,0.0000,0.0000,10000.00,10189.26,0,0.00,0,0.00
2010-04-18,10000.00,0.0000,0.0000,0.0000,10000.00,10183.09,0,0.00,0,0.00
2010-04-19,10000.00,0.0000,0.0000,0.0000,10000.00,10234.52,0,0.00,0,0.00
2010-04-20,10000.00,0.0000,0.0000,0.0000,10000.00,10292.12,0,0.00,0,0.00
2010-04-21,10000.00,0.0000,0.0000,0.0000,10000.00,10349.72,0,0.00,0,0.00
2010-04-22,10000.00,0.0000,0.0000,0.0000,10000.00,10392.92,0,0.00,0,0.00
2010-04-25,10000.00,0.0000,0.0000,0.0000,10000.00,10370.29,0,0.00,0,0.00
2010-04-26,10000.00,0.0000,0.0000,0.0000,10000.00,10150.17,0,0.00,0,0.00
2010-04-27,10000.00,0.0000,0.0000,0.0000,10000.00,10156.35,0,0.00,0,0.00
2010-04-28,10000.00,0.0000,0.0000,0.0000,10000.00,10333.26,0,0.00,0,0.00
2010-04-29,10000.00,0.0000,0.0000,0.0000,10000.00,10129.09,0,0.00,0,0.00
2010-05-02,9991.61,-0.0839,-0.0839,-0.0839,3001.41,10271.55,140,0.00,0,0.00
2010-05-03,9773.43,-2.1836,-2.2657,-2.2657,9773.43,9962.97,0,0.00,0,0.00
2010-05-04,9773.43,0.0000,-2.2657,-2.2657,9773.43,9911.54,0,0.00,0,0.00
2010-05-05,9773.43,0.0000,-2.2657,-2.2657,9773.43,9580.33,0,0.00,0,0.00
2010-05-06,9773.43,0.0000,-2.2657,-2.2657,9773.43,9341.70,0,0.00,0,0.00
2010-05-09,9773.43,0.0000,-2.2657,-2.2657,9773.43,9827.20,0,0.00,0,0.00
2010-05-10,9773.43,0.0000,-2.2657,-2.2657,9773.43,9816.91,0,0.00,0,0.00
2010-05-11,9773.43,0.0000,-2.2657,-2.2657,9773.43,10002.06,0,0.00,0,0.00
2010-05-12,9773.43,0.0000,-2.2657,-2.2657,9773.43,9843.65,0,0.00,0,0.00
2010-05-13,9773.43,0.0000,-2.2657,-2.2657,9773.43,9654.39,0,0.00,0,0.00
2010-05-16,9773.43,0.0000,-2.2657,-2.2657,9773.43,9685.25,0,0.00,0,0.00
2010-05-17,9773.43,0.0000,-2.2657,-2.2657,9773.43,9551.53,0,0.00,0,0.00
2010-05-18,9773.43,0.0000,-2.2657,-2.2657,9773.43,9475.42,0,0.00,0,0.00
2010-05-19,9773.43,0.0000,-2.2657,-2.2657,9773.43,9123.64,0,0.00,0,0.00
2010-05-20,9773.43,0.0000,-2.2657,-2.2657,9773.43,9224.44,0,0.00,0,0.00
2010-05-23,9773.43,0.0000,-2.2657,-2.2657,9773.43,9187.41,0,0.00,0,0.00
2010-05-24,9773.43,0.0000,-2.2657,-2.2657,9773.43,9195.64,0,0.00,0,0.00
2010-05-25,9773.43,0.0000,-2.2657,-2.2657,9773.43,9092.78,0,0.00,0,0.00
2010-05-26,9773.43,0.0000,-2.2657,-2.2657,9773.43,9436.33,0,0.00,0,0.00
2010-05-27,9773.43,0.0000,-2.2657,-2.2657,9773.43,9380.79,0,0.00,0,0.00
2010-05-31,9773.43,0.0000,-2.2657,-2.2657,9773.43,9294.38,0,0.00,0,0.00
2010-06-01,9773.43,0.0000,-2.2657,-2.2657,9773.43,9514.50,0,0.00,0,0.00
2010-06-02,9642.13,-1.3435,-3.5787,-3.5787,3460.41,9605.02,0,0.00,12512,0.00
2010-06-03,9669.02,0.2789,-3.3098,-3.3098,9669.02,9276.38,0,0.00,0,0.00
2010-06-06,9669.02,0.0000,-3.3098,-3.3098,9669.02,9107.18,0,0.00,0,0.00
2010-06-07,9669.02,0.0000,-3.3098,-3.3098,9669.02,9090.72,0,0.00,0,0.00
2010-06-08,9669.02,0.0000,-3.3098,-3.3098,9669.02,9014.61,0,0.00,0,0.00
2010-06-09,9669.02,0.0000,-3.3098,-3.3098,9669.02,9271.75,0,0.00,0,0.00
2010-06-10,9669.02,0.0000,-3.3098,-3.3098,9669.02,9360.21,0,0.00,0,0.00
2010-06-13,9669.02,0.0000,-3.3098,-3.3098,9669.02,9358.16,0,0.00,0,0.00
2010-06-14,9508.01,-1.6652,-4.9199,-4.9199,2369.09,9609.13,0,0.00,15387,0.00
2010-06-15,10109.87,6.3301,1.0987,1.0987,2369.09,9648.22,0,0.00,15387,7740.78
2010-06-16,10205.24,0.9433,2.0524,2.0524,2369.09,9679.08,0,0.00,15387,7836.15
2010-06-17,10271.76,0.6518,2.7176,2.7176,2369.09,9668.79,0,0.00,15387,7902.67
2010-06-20,10305.41,0.3276,3.0541,3.0541,2369.09,9586.50,0,0.00,15387,7936.32
2010-06-21,10085.82,-2.1308,0.8582,0.8582,2369.09,9512.45,0,0.00,15387,7716.73
2010-06-22,9737.70,-3.4516,-2.6230,-2.6230,9737.70,9473.36,0,0.00,0,0.00
2010-06-23,9737.70,0.0000,-2.6230,-2.6230,9737.70,9329.36,0,0.00,0,0.00
2010-06-24,9737.70,0.0000,-2.6230,-2.6230,9737.70,9312.90,0,0.00,0,0.00
2010-06-27,9737.70,0.0000,-2.6230,-2.6230,9737.70,9279.98,0,0.00,0,0.00
2010-06-28,9737.70,0.0000,-2.6230,-2.6230,9737.70,8922.03,0,0.00,0,0.00
2010-06-29,9737.70,0.0000,-2.6230,-2.6230,9737.70,8786.26,0,0.00,0,0.00
2010-06-30,9737.70,0.0000,-2.6230,-2.6230,9737.70,8761.57,0,0.00,0,0.00
2010-07-01,9737.70,0.0000,-2.6230,-2.6230,9737.70,8736.89,0,0.00,0,0.00
2010-07-05,9737.70,0.0000,-2.6230,-2.6230,9737.70,8763.63,0,0.00,0,0.00
2010-07-06,9737.70,0.0000,-2.6230,-2.6230,9737.70,9043.41,0,0.00,0,0.00
2010-07-07,9737.70,0.0000,-2.6230,-2.6230,9737.70,9092.78,0,0.00,0,0.00
2010-07-08,9729.40,-0.0853,-2.7060,-2.7060,2947.16,9179.18,152,0.00,0,0.00
