Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
001,QQQ-TQQQ,21363.93,1.136,0.289,-0.088,2.79,1.46,3.3,60,0.0,0.2,173.33,-347701.74,50,2.0,0.04,12,26,9,14,0.6
002,QQQ-TQQQ,21451.23,1.145,0.291,-0.084,2.86,1.49,3.46,60,0.0,0.2,144.82,-348383.31,50,2.0,0.04,12,26,9,14,0.5
003,QQQ-TQQQ,21282.70,1.128,0.287,-0.091,2.71,1.41,3.17,60,0.0,0.2,201.88,-347086.69,50,2.0,0.04,12,26,9,14,0.7
004,QQQ-TQQQ,25710.56,1.571,0.371,-0.102,3.0,1.52,3.64,60,0.0,0.2,197.03,-488987.95,50,2.0,0.05,12,26,9,14,0.6
005,QQQ-TQQQ,25816.88,1.582,0.373,-0.099,3.05,1.54,3.78,60,0.0,0.2,164.83,-490051.99,50,2.0,0.05,12,26,9,14,0.5
006,QQQ-TQQQ,25612.28,1.561,0.37,-0.105,2.94,1.49,3.51,60,0.0,0.2,229.42,-488048.86,50,2.0,0.05,12,26,9,14,0.7
007,QQQ-TQQQ,27357.62,1.736,0.4,-0.072,3.33,2.07,5.59,56,0.0,0.214,205.19,-545860.6,50,2.0,0.06,12,26,9,14,0.6
008,QQQ-TQQQ,27465.37,1.747,0.402,-0.063,3.39,2.12,6.34,56,0.0,0.214,171.57,-547170.27,50,2.0,0.06,12,26,9,14,0.5
009,QQQ-TQQQ,27252.08,1.725,0.398,-0.08,3.26,2.01,5.0,56,0.0,0.214,239.06,-544587.6,50,2.0,0.06,12,26,9,14,0.7
010,QQQ-TQQQ,16591.26,0.659,0.185,-0.067,2.36,1.27,2.76,60,0.0,0.2,146.16,-198386.2,50,3.0,0.04,12,26,9,14,0.6
011,QQQ-TQQQ,16657.25,0.666,0.186,-0.064,2.47,1.36,2.93,60,0.0,0.2,122.25,-198728.91,50,3.0,0.04,12,26,9,14,0.5
012,QQQ-TQQQ,16527.25,0.653,0.183,-0.07,2.25,1.19,2.61,60,0.0,0.2,170.11,-198082.41,50,3.0,0.04,12,26,9,14,0.7
013,QQQ-TQQQ,18851.00,0.885,0.236,-0.077,2.61,1.39,3.06,60,0.0,0.2,159.38,-268061.02,50,3.0,0.05,12,26,9,14,0.6
014,QQQ-TQQQ,18920.89,0.892,0.238,-0.074,2.69,1.44,3.21,60,0.0,0.2,133.03,-268510.17,50,3.0,0.05,12,26,9,14,0.5
015,QQQ-TQQQ,18773.55,0.877,0.235,-0.081,2.51,1.32,2.91,60,0.0,0.2,185.47,-267557.92,50,3.0,0.05,12,26,9,14,0.7
016,QQQ-TQQQ,21363.93,1.136,0.289,-0.088,2.79,1.46,3.3,60,0.0,0.2,173.33,-347701.74,50,3.0,0.06,12,26,9,14,0.6
017,QQQ-TQQQ,21451.23,1.145,0.291,-0.084,2.86,1.49,3.46,60,0.0,0.2,144.82,-348383.31,50,3.0,0.06,12,26,9,14,0.5
018,QQQ-TQQQ,21282.70,1.128,0.287,-0.091,2.71,1.41,3.17,60,0.0,0.2,201.88,-347086.69,50,3.0,0.06,12,26,9,14,0.7
019,QQQ-TQQQ,30294.82,2.029,0.449,-0.078,3.23,1.71,5.75,48,0.0,0.25,235.16,-621017.68,50,1.0,0.04,12,26,9,14,0.6
020,QQQ-TQQQ,30406.82,2.041,0.451,-0.073,3.28,1.72,6.18,48,0.0,0.25,196.39,-622384.03,50,1.0,0.04,12,26,9,14,0.5
021,QQQ-TQQQ,30176.02,2.018,0.447,-0.086,3.18,1.69,5.19,48,0.0,0.25,273.68,-619549.94,50,1.0,0.04,12,26,9,14,0.7
022,QQQ-TQQQ,17669.08,0.767,0.21,-0.085,1.71,0.85,2.47,38,0.0,0.316,158.04,-398155.26,50,1.0,0.05,12,26,9,14,0.6
023,QQQ-TQQQ,17736.23,0.774,0.211,-0.083,1.75,0.86,2.54,38,0.0,0.316,131.95,-399412.02,50,1.0,0.05,12,26,9,14,0.5
024,QQQ-TQQQ,17599.71,0.760,0.208,-0.096,1.67,0.84,2.16,38,0.0,0.316,183.9,-396929.33,50,1.0,0.05,12,26,9,14,0.7
025,QQQ-TQQQ,12491.83,0.249,0.077,-0.088,0.59,0.31,0.88,33,0.0,0.364,124.9,-267940.04,50,1.0,0.06,12,26,9,14,0.6
026,QQQ-TQQQ,12542.44,0.254,0.079,-0.081,0.62,0.32,0.98,33,0.0,0.364,104.41,-268648.25,50,1.0,0.06,12,26,9,14,0.5
027,QQQ-TQQQ,12443.01,0.244,0.076,-0.099,0.57,0.3,0.77,33,0.0,0.364,145.51,-267291.05,50,1.0,0.06,12,26,9,14,0.7
028,QQQ-TQQQ,18375.45,0.838,0.226,-0.075,2.56,1.37,3.0,60,0.0,0.2,156.51,-253308.61,50,2.5,0.04,12,26,9,14,0.6
029,QQQ-TQQQ,18444.14,0.844,0.227,-0.072,2.65,1.43,3.16,60,0.0,0.2,130.7,-253743.38,50,2.5,0.04,12,26,9,14,0.5
030,QQQ-TQQQ,18298.83,0.830,0.224,-0.079,2.47,1.3,2.85,60,0.0,0.2,181.97,-252852.8,50,2.5,0.04,12,26,9,14,0.7
031,QQQ-TQQQ,21363.93,1.136,0.289,-0.088,2.79,1.46,3.3,60,0.0,0.2,173.33,-347701.74,50,2.5,0.05,12,26,9,14,0.6
032,QQQ-TQQQ,21451.23,1.145,0.291,-0.084,2.86,1.49,3.46,60,0.0,0.2,144.82,-348383.31,50,2.5,0.05,12,26,9,14,0.5
033,QQQ-TQQQ,21282.70,1.128,0.287,-0.091,2.71,1.41,3.17,60,0.0,0.2,201.88,-347086.69,50,2.5,0.05,12,26,9,14,0.7
034,QQQ-TQQQ,24787.29,1.479,0.355,-0.099,2.96,1.51,3.58,60,0.0,0.2,192.03,-458516.26,50,2.5,0.06,12,26,9,14,0.6
035,QQQ-TQQQ,24878.78,1.488,0.356,-0.096,3.01,1.53,3.71,60,0.0,0.2,160.2,-459346.2,50,2.5,0.06,12,26,9,14,0.5
036,QQQ-TQQQ,24693.52,1.469,0.353,-0.102,2.9,1.48,3.45,60,0.0,0.2,223.54,-457680.48,50,2.5,0.06,12,26,9,14,0.7
037,QQQ-TQQQ,20238.97,1.024,0.266,-0.086,2.54,1.34,3.08,56,0.0,0.232,154.71,-346774.43,100,2.0,0.04,12,26,9,14,0.6
038,QQQ-TQQQ,20329.66,1.033,0.268,-0.083,2.62,1.38,3.22,56,0.0,0.232,128.66,-346300.37,100,2.0,0.04,12,26,9,14,0.5
039,QQQ-TQQQ,20140.74,1.014,0.264,-0.09,2.46,1.29,2.94,56,0.0,0.232,180.61,-347144.1,100,2.0,0.04,12,26,9,14,0.7
040,QQQ-TQQQ,24076.82,1.408,0.342,-0.101,2.75,1.4,3.39,56,0.0,0.232,170.03,-479603.22,100,2.0,0.05,12,26,9,14,0.6
041,QQQ-TQQQ,24185.30,1.419,0.344,-0.098,2.81,1.42,3.52,56,0.0,0.232,141.52,-479091.24,100,2.0,0.05,12,26,9,14,0.5
