run_id,symbol_set,signal_symbol,bull_symbol,defense_symbol,ema_period,atr_stop_multiplier,risk_bull,macd_fast_period,macd_slow_period,macd_signal_period,atr_period,allocation_defense
001,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.04,12,26,9,14,0.6
002,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.04,12,26,9,14,0.5
003,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.04,12,26,9,14,0.7
004,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.05,12,26,9,14,0.6
005,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.05,12,26,9,14,0.5
006,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.05,12,26,9,14,0.7
007,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.06,12,26,9,14,0.6
008,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.06,12,26,9,14,0.5
009,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,2.0,0.06,12,26,9,14,0.7
010,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.04,12,26,9,14,0.6
011,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.04,12,26,9,14,0.5
012,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.04,12,26,9,14,0.7
013,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.05,12,26,9,14,0.6
014,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.05,12,26,9,14,0.5
015,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.05,12,26,9,14,0.7
016,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.06,12,26,9,14,0.6
017,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.06,12,26,9,14,0.5
018,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,3.0,0.06,12,26,9,14,0.7
019,QQQ-TQQQ,QQQ,TQQQ,QQQ,50,1.0,0.04,12,26,9,14,0.6
