Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
001,QQQ-TQQQ,2839455.66,282.946,0.437,-0.155,4.15,1.8,2.83,349,0.0,0.261,7763.02,-968087.49,50,2.0,0.04,12,26,9,14,0.6
002,QQQ-TQQQ,2894415.15,288.442,0.439,-0.142,4.26,1.85,3.09,349,0.0,0.261,6696.03,-999357.33,50,2.0,0.04,12,26,9,14,0.5
003,QQQ-TQQQ,2782987.56,277.299,0.435,-0.17,4.02,1.73,2.56,349,0.0,0.261,8744.76,-937445.1,50,2.0,0.04,12,26,9,14,0.7
004,QQQ-TQQQ,5616956.61,560.696,0.502,-0.17,4.14,1.7,2.95,340,0.0,0.268,13166.58,-1875996.9,50,2.0,0.05,12,26,9,14,0.6
005,QQQ-TQQQ,5725183.62,571.518,0.503,-0.159,4.23,1.73,3.17,340,0.0,0.268,11356.69,-1938330.11,50,2.0,0.05,12,26,9,14,0.5
006,QQQ-TQQQ,5502713.96,549.271,0.5,-0.181,4.05,1.66,2.76,340,0.0,0.268,14823.44,-1814037.54,50,2.0,0.05,12,26,9,14,0.7
007,QQQ-TQQQ,8477816.99,846.782,0.542,-0.185,4.13,1.66,2.93,325,0.0,0.28,17531.76,-2907552.73,50,2.0,0.06,12,26,9,14,0.6
008,QQQ-TQQQ,8639224.84,862.922,0.544,-0.174,4.2,1.69,3.12,325,0.0,0.28,15116.53,-3007153.68,50,2.0,0.06,12,26,9,14,0.5
009,QQQ-TQQQ,8310094.15,830.009,0.54,-0.196,4.05,1.63,2.75,325,0.0,0.28,19750.12,-2809220.35,50,2.0,0.06,12,26,9,14,0.7
010,QQQ-TQQQ,451333.99,44.133,0.277,-0.139,3.48,1.57,1.99,351,0.0,0.259,1652.09,-202850.26,50,3.0,0.04,12,26,9,14,0.6
011,QQQ-TQQQ,459881.54,44.988,0.279,-0.123,3.65,1.68,2.26,351,0.0,0.259,1423.7,-207987.31,50,3.0,0.04,12,26,9,14,0.5
012,QQQ-TQQQ,442418.01,43.242,0.276,-0.155,3.3,1.46,1.78,351,0.0,0.259,1862.5,-197828.94,50,3.0,0.04,12,26,9,14,0.7
013,QQQ-TQQQ,1159147.98,114.915,0.357,-0.147,3.85,1.71,2.43,351,0.0,0.259,3616.63,-441962.72,50,3.0,0.05,12,26,9,14,0.6
