run_id,symbol_set,signal_symbol,bull_symbol,defense_symbol,vix_ema_period,ema_period_calm,atr_stop_calm,ema_period_choppy,atr_stop_choppy,risk_bull,allocation_defense,macd_fast_period,macd_slow_period,macd_signal_period,atr_period,vix_symbol
001,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.0,0.05,0.6,12,26,9,14,VIX
002,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.0,0.06,0.6,12,26,9,14,VIX
003,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.5,0.05,0.6,12,26,9,14,VIX
004,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,2.5,0.06,0.6,12,26,9,14,VIX
005,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,1.0,0.05,0.6,12,26,9,14,VIX
006,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,50,1.0,0.06,0.6,12,26,9,14,VIX
007,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.0,0.05,0.6,12,26,9,14,VIX
008,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.0,0.06,0.6,12,26,9,14,VIX
009,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.5,0.05,0.6,12,26,9,14,VIX
010,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,2.5,0.06,0.6,12,26,9,14,VIX
011,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,1.0,0.05,0.6,12,26,9,14,VIX
012,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,75,1.0,0.06,0.6,12,26,9,14,VIX
013,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.0,0.05,0.6,12,26,9,14,VIX
014,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.0,0.06,0.6,12,26,9,14,VIX
015,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.5,0.05,0.6,12,26,9,14,VIX
016,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,2.5,0.06,0.6,12,26,9,14,VIX
017,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,1.0,0.05,0.6,12,26,9,14,VIX
018,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.5,100,1.0,0.06,0.6,12,26,9,14,VIX
019,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.0,0.05,0.6,12,26,9,14,VIX
020,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.0,0.06,0.6,12,26,9,14,VIX
021,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.5,0.05,0.6,12,26,9,14,VIX
022,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,2.5,0.06,0.6,12,26,9,14,VIX
023,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,1.0,0.05,0.6,12,26,9,14,VIX
024,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,50,1.0,0.06,0.6,12,26,9,14,VIX
025,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.0,0.05,0.6,12,26,9,14,VIX
026,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.0,0.06,0.6,12,26,9,14,VIX
027,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.5,0.05,0.6,12,26,9,14,VIX
028,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,2.5,0.06,0.6,12,26,9,14,VIX
029,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,1.0,0.05,0.6,12,26,9,14,VIX
030,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,75,1.0,0.06,0.6,12,26,9,14,VIX
031,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.0,0.05,0.6,12,26,9,14,VIX
032,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.0,0.06,0.6,12,26,9,14,VIX
033,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.5,0.05,0.6,12,26,9,14,VIX
034,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,2.5,0.06,0.6,12,26,9,14,VIX
035,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,1.0,0.05,0.6,12,26,9,14,VIX
036,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,2.0,100,1.0,0.06,0.6,12,26,9,14,VIX
037,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.0,0.05,0.6,12,26,9,14,VIX
038,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.0,0.06,0.6,12,26,9,14,VIX
039,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.5,0.05,0.6,12,26,9,14,VIX
040,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.5,0.06,0.6,12,26,9,14,VIX
041,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,1.0,0.05,0.6,12,26,9,14,VIX
042,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,1.0,0.06,0.6,12,26,9,14,VIX
043,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.0,0.05,0.6,12,26,9,14,VIX
044,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.0,0.06,0.6,12,26,9,14,VIX
045,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.5,0.05,0.6,12,26,9,14,VIX
046,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.5,0.06,0.6,12,26,9,14,VIX
047,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,1.0,0.05,0.6,12,26,9,14,VIX
048,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,1.0,0.06,0.6,12,26,9,14,VIX
049,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.0,0.05,0.6,12,26,9,14,VIX
050,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.0,0.06,0.6,12,26,9,14,VIX
051,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.5,0.05,0.6,12,26,9,14,VIX
052,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.5,0.06,0.6,12,26,9,14,VIX
053,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,1.0,0.05,0.6,12,26,9,14,VIX
054,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,1.0,0.06,0.6,12,26,9,14,VIX
055,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.0,0.05,0.6,12,26,9,14,VIX
