Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense,Vix Ema Period,Ema Period Calm,Atr Stop Calm,Ema Period Choppy,Atr Stop Choppy
001,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,50,2.0
002,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,50,2.0
003,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,50,2.5
004,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,50,2.5
005,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,50,1.0
006,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,50,1.0
007,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,75,2.0
008,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,75,2.0
009,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,75,2.5
010,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,75,2.5
011,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,75,1.0
012,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,75,1.0
013,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,100,2.0
014,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,100,2.0
015,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,100,2.5
016,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,100,2.5
017,QQQ_TQQQ_VIX,5312666.30,530.267,0.496,-0.108,4.73,2.06,4.58,427,0.0,0.241,9399.93,-1364897.71,0.05,12,26,9,14,0.6,20,25,2.5,100,1.0
018,QQQ_TQQQ_VIX,12252846.76,1224.285,0.579,-0.124,4.84,2.01,4.66,421,0.0,0.245,18552.08,-2951333.91,0.06,12,26,9,14,0.6,20,25,2.5,100,1.0
019,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,50,2.0
020,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,50,2.0
021,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,50,2.5
022,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,50,2.5
023,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,50,1.0
024,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,50,1.0
025,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,75,2.0
026,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,75,2.0
027,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,75,2.5
028,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,75,2.5
029,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,75,1.0
030,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,75,1.0
031,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,100,2.0
032,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,100,2.0
033,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,100,2.5
034,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,100,2.5
035,QQQ_TQQQ_VIX,15167710.78,1515.771,0.601,-0.128,4.88,2.0,4.69,418,0.0,0.246,22162.93,-3598490.52,0.05,12,26,9,14,0.6,20,25,2.0,100,1.0
036,QQQ_TQQQ_VIX,23889871.60,2387.987,0.648,-0.147,4.82,1.92,4.42,404,0.0,0.255,29874.94,-5621712.36,0.06,12,26,9,14,0.6,20,25,2.0,100,1.0
037,QQQ_TQQQ_VIX,-2045486.67,-205.549,,-1.0,,0.26,,59,0.0,0.305,195.71,-441685.67,0.05,12,26,9,14,0.6,20,25,1.0,50,2.0
038,QQQ_TQQQ_VIX,-1685309.83,-169.531,,-1.0,,0.28,,5,0.0,0.2,73.98,-612443.71,0.06,12,26,9,14,0.6,20,25,1.0,50,2.0
039,QQQ_TQQQ_VIX,-2045486.67,-205.549,,-1.0,,0.26,,59,0.0,0.305,195.71,-441685.67,0.05,12,26,9,14,0.6,20,25,1.0,50,2.5
040,QQQ_TQQQ_VIX,-1685309.83,-169.531,,-1.0,,0.28,,5,0.0,0.2,73.98,-612443.71,0.06,12,26,9,14,0.6,20,25,1.0,50,2.5
041,QQQ_TQQQ_VIX,-2045486.67,-205.549,,-1.0,,0.26,,59,0.0,0.305,195.71,-441685.67,0.05,12,26,9,14,0.6,20,25,1.0,50,1.0
042,QQQ_TQQQ_VIX,-1685309.83,-169.531,,-1.0,,0.28,,5,0.0,0.2,73.98,-612443.71,0.06,12,26,9,14,0.6,20,25,1.0,50,1.0
043,QQQ_TQQQ_VIX,-2045486.67,-205.549,,-1.0,,0.26,,59,0.0,0.305,195.71,-441685.67,0.05,12,26,9,14,0.6,20,25,1.0,75,2.0
044,QQQ_TQQQ_VIX,-1685309.83,-169.531,,-1.0,,0.28,,5,0.0,0.2,73.98,-612443.71,0.06,12,26,9,14,0.6,20,25,1.0,75,2.0
045,QQQ_TQQQ_VIX,-2045486.67,-205.549,,-1.0,,0.26,,59,0.0,0.305,195.71,-441685.67,0.05,12,26,9,14,0.6,20,25,1.0,75,2.5
046,QQQ_TQQQ_VIX,-1685309.83,-169.531,,-1.0,,0.28,,5,0.0,0.2,73.98,-612443.71,0.06,12,26,9,14,0.6,20,25,1.0,75,2.5
047,QQQ_TQQQ_VIX,-2045486.67,-205.549,,-1.0,,0.26,,59,0.0,0.305,195.71,-441685.67,0.05,12,26,9,14,0.6,20,25,1.0,75,1.0
048,QQQ_TQQQ_VIX,-1685309.83,-169.531,,-1.0,,0.28,,5,0.0,0.2,73.98,-612443.71,0.06,12,26,9,14,0.6,20,25,1.0,75,1.0
049,QQQ_TQQQ_VIX,-2045486.67,-205.549,,-1.0,,0.26,,59,0.0,0.305,195.71,-441685.67,0.05,12,26,9,14,0.6,20,25,1.0,100,2.0
050,QQQ_TQQQ_VIX,-1685309.83,-169.531,,-1.0,,0.28,,5,0.0,0.2,73.98,-612443.71,0.06,12,26,9,14,0.6,20,25,1.0,100,2.0
