Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense,Vix Ema Period,Ema Period Calm,Atr Stop Calm,Ema Period Choppy,Atr Stop Choppy
001,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,20,25,2.5,50,2.0
002,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,20,25,2.5,50,2.0
003,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,20,25,2.5,50,2.0
004,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,20,25,2.5,50,2.5
005,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,20,25,2.5,50,2.5
006,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,20,25,2.5,50,2.5
007,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,20,25,2.5,50,1.0
008,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,20,25,2.5,50,1.0
009,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,20,25,2.5,50,1.0
010,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,20,25,2.5,75,2.0
011,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,20,25,2.5,75,2.0
012,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,20,25,2.5,75,2.0
013,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,20,25,2.5,75,2.5
014,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,20,25,2.5,75,2.5
015,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,20,25,2.5,75,2.5
016,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,20,25,2.5,75,1.0
017,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,20,25,2.5,75,1.0
018,QQQ_TQQQ_VIX,279947.71,26.995,0.239,-0.081,3.71,1.74,2.94,429,0.0,0.24,868.65,-113335.03,0.025,12,26,9,14,0.6,20,25,2.5,75,1.0
019,QQQ_TQQQ_VIX,73544.79,6.354,0.137,-0.078,2.71,1.26,1.74,429,0.0,0.24,324.99,-39159.6,0.015,12,26,9,14,0.6,20,25,2.5,100,2.0
020,QQQ_TQQQ_VIX,144141.53,13.414,0.187,-0.08,3.3,1.54,2.34,429,0.0,0.24,526.61,-67429.05,0.02,12,26,9,14,0.6,20,25,2.5,100,2.0
