Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Baseline_QQQ_Value,Baseline_QQQ_Return_Pct,Cash,BuyHold_QQQ_Value,QQQ_Qty,QQQ_Value,TQQQ_Qty,TQQQ_Value
2020-01-01,10000.00,0.0000,0.0000,0.0000,10000.00,0.0000,10000.00,10000.00,0,0.00,0,0.00
2020-01-02,10000.00,0.0000,0.0000,0.0000,9908.40,-0.9160,10000.00,9908.40,0,0.00,0,0.00
2020-01-05,10000.00,0.0000,0.0000,0.0000,9972.24,-0.2776,10000.00,9972.24,0,0.00,0,0.00
2020-01-06,10000.00,0.0000,0.0000,0.0000,9970.85,-0.2915,10000.00,9970.85,0,0.00,0,0.00
2020-01-07,10000.00,0.0000,0.0000,0.0000,10045.80,0.4580,10000.00,10045.80,0,0.00,0,0.00
2020-01-08,10000.00,0.0000,0.0000,0.0000,10130.92,1.3092,10000.00,10130.92,0,0.00,0,0.00
2020-01-09,10000.00,0.0000,0.0000,0.0000,10105.01,1.0501,10000.00,10105.01,0,0.00,0,0.00
2020-01-12,10000.00,0.0000,0.0000,0.0000,10221.60,2.2160,10000.00,10221.60,0,0.00,0,0.00
2020-01-13,10000.00,0.0000,0.0000,0.0000,10181.35,1.8135,10000.00,10181.35,0,0.00,0,0.00
2020-01-14,10000.00,0.0000,0.0000,0.0000,10185.51,1.8551,10000.00,10185.51,0,0.00,0,0.00
2020-01-15,10000.00,0.0000,0.0000,0.0000,10283.12,2.8312,10000.00,10283.12,0,0.00,0,0.00
2020-01-16,10000.00,0.0000,0.0000,0.0000,10334.01,3.3401,10000.00,10334.01,0,0.00,0,0.00
2020-01-20,10000.00,0.0000,0.0000,0.0000,10329.39,3.2939,10000.00,10329.39,0,0.00,0,0.00
2020-01-21,10000.00,0.0000,0.0000,0.0000,10356.68,3.5668,10000.00,10356.68,0,0.00,0,0.00
2020-01-22,10000.00,0.0000,0.0000,0.0000,10389.99,3.8999,10000.00,10389.99,0,0.00,0,0.00
2020-01-23,10000.00,0.0000,0.0000,0.0000,10302.55,3.0255,10000.00,10302.55,0,0.00,0,0.00
2020-01-26,10000.00,0.0000,0.0000,0.0000,10089.75,0.8975,10000.00,10089.75,0,0.00,0,0.00
2020-01-27,10000.00,0.0000,0.0000,0.0000,10244.73,2.4473,10000.00,10244.73,0,0.00,0,0.00
2020-01-28,10000.00,0.0000,0.0000,0.0000,10261.38,2.6138,10000.00,10261.38,0,0.00,0,0.00
2020-01-29,10000.00,0.0000,0.0000,0.0000,10297.93,2.9793,10000.00,10297.93,0,0.00,0,0.00
2020-01-30,10000.00,0.0000,0.0000,0.0000,10134.62,1.3462,10000.00,10134.62,0,0.00,0,0.00
2020-02-02,10000.00,0.0000,0.0000,0.0000,10287.75,2.8775,10000.00,10287.75,0,0.00,0,0.00
2020-02-03,10000.00,0.0000,0.0000,0.0000,10523.22,5.2322,10000.00,10523.22,0,0.00,0,0.00
2020-02-04,10000.00,0.0000,0.0000,0.0000,10557.92,5.5792,10000.00,10557.92,0,0.00,0,0.00
2020-02-05,10000.00,0.0000,0.0000,0.0000,10649.06,6.4906,10000.00,10649.06,0,0.00,0,0.00
2020-02-06,10000.00,0.0000,0.0000,0.0000,10603.26,6.0326,10000.00,10603.26,0,0.00,0,0.00
2020-02-09,10000.00,0.0000,0.0000,0.0000,10731.40,7.3140,10000.00,10731.40,0,0.00,0,0.00
2020-02-10,10000.00,0.0000,0.0000,0.0000,10733.25,7.3325,10000.00,10733.25,0,0.00,0,0.00
2020-02-11,10000.00,0.0000,0.0000,0.0000,10837.81,8.3781,10000.00,10837.81,0,0.00,0,0.00
2020-02-12,10000.00,0.0000,0.0000,0.0000,10823.93,8.2393,10000.00,10823.93,0,0.00,0,0.00
2020-02-13,10000.00,0.0000,0.0000,0.0000,10854.92,8.5492,10000.00,10854.92,0,0.00,0,0.00
2020-02-17,10000.00,0.0000,0.0000,0.0000,10859.09,8.5909,10000.00,10859.09,0,0.00,0,0.00
2020-02-18,10000.00,0.0000,0.0000,0.0000,10963.18,9.6318,10000.00,10963.18,0,0.00,0,0.00
2020-02-19,10000.00,0.0000,0.0000,0.0000,10861.40,8.6140,10000.00,10861.40,0,0.00,0,0.00
2020-02-20,10000.00,0.0000,0.0000,0.0000,10652.76,6.5276,10000.00,10652.76,0,0.00,0,0.00
2020-02-23,10000.00,0.0000,0.0000,0.0000,10241.95,2.4195,10000.00,10241.95,0,0.00,0,0.00
2020-02-24,10000.00,0.0000,0.0000,0.0000,9963.45,-0.3655,10000.00,9963.45,0,0.00,0,0.00
2020-02-25,10000.00,0.0000,0.0000,0.0000,10014.80,0.1480,10000.00,10014.80,0,0.00,0,0.00
2020-02-26,10000.00,0.0000,0.0000,0.0000,9513.32,-4.8668,10000.00,9513.32,0,0.00,0,0.00
2020-02-27,10000.00,0.0000,0.0000,0.0000,9520.73,-4.7927,10000.00,9520.73,0,0.00,0,0.00
2020-03-01,10000.00,0.0000,0.0000,0.0000,10012.03,0.1203,10000.00,10012.03,0,0.00,0,0.00
2020-03-02,10000.00,0.0000,0.0000,0.0000,9690.97,-3.0903,10000.00,9690.97,0,0.00,0,0.00
2020-03-03,10000.00,0.0000,0.0000,0.0000,10095.30,0.9530,10000.00,10095.30,0,0.00,0,0.00
2020-03-04,10000.00,0.0000,0.0000,0.0000,9788.58,-2.1142,10000.00,9788.58,0,0.00,0,0.00
2020-03-05,10000.00,0.0000,0.0000,0.0000,9623.43,-3.7657,10000.00,9623.43,0,0.00,0,0.00
2020-03-08,10000.00,0.0000,0.0000,0.0000,8954.94,-10.4506,10000.00,8954.94,0,0.00,0,0.00
2020-03-09,10000.00,0.0000,0.0000,0.0000,9442.54,-5.5746,10000.00,9442.54,0,0.00,0,0.00
2020-03-10,10000.00,0.0000,0.0000,0.0000,9031.27,-9.6873,10000.00,9031.27,0,0.00,0,0.00
2020-03-11,10000.00,0.0000,0.0000,0.0000,8203.18,-17.9682,10000.00,8203.18,0,0.00,0,0.00
2020-03-12,10000.00,0.0000,0.0000,0.0000,8898.04,-11.0196,10000.00,8898.04,0,0.00,0,0.00
2020-03-15,10000.00,0.0000,0.0000,0.0000,7832.16,-21.6784,10000.00,7832.16,0,0.00,0,0.00
2020-03-16,10000.00,0.0000,0.0000,0.0000,8426.17,-15.7383,10000.00,8426.17,0,0.00,0,0.00
2020-03-17,10000.00,0.0000,0.0000,0.0000,8169.87,-18.3013,10000.00,8169.87,0,0.00,0,0.00
2020-03-18,10000.00,0.0000,0.0000,0.0000,8218.91,-17.8109,10000.00,8218.91,0,0.00,0,0.00
2020-03-19,10000.00,0.0000,0.0000,0.0000,7896.93,-21.0307,10000.00,7896.93,0,0.00,0,0.00
2020-03-22,10000.00,0.0000,0.0000,0.0000,7885.83,-21.1417,10000.00,7885.83,0,0.00,0,0.00
2020-03-23,10000.00,0.0000,0.0000,0.0000,8496.48,-15.0352,10000.00,8496.48,0,0.00,0,0.00
2020-03-24,10000.00,0.0000,0.0000,0.0000,8433.57,-15.6643,10000.00,8433.57,0,0.00,0,0.00
2020-03-25,10000.00,0.0000,0.0000,0.0000,8877.68,-11.2232,10000.00,8877.68,0,0.00,0,0.00
2020-03-26,10000.00,0.0000,0.0000,0.0000,8572.35,-14.2765,10000.00,8572.35,0,0.00,0,0.00
2020-03-29,10000.00,0.0000,0.0000,0.0000,8884.16,-11.1584,10000.00,8884.16,0,0.00,0,0.00
2020-03-30,10000.00,0.0000,0.0000,0.0000,8808.29,-11.9171,10000.00,8808.29,0,0.00,0,0.00
2020-03-31,10000.00,0.0000,0.0000,0.0000,8434.03,-15.6597,10000.00,8434.03,0,0.00,0,0.00
2020-04-01,10000.00,0.0000,0.0000,0.0000,8605.20,-13.9480,10000.00,8605.20,0,0.00,0,0.00
2020-04-02,10000.00,0.0000,0.0000,0.0000,8483.07,-15.1693,10000.00,8483.07,0,0.00,0,0.00
2020-04-05,10000.00,0.0000,0.0000,0.0000,9089.56,-9.1044,10000.00,9089.56,0,0.00,0,0.00
2020-04-06,10000.00,0.0000,0.0000,0.0000,9085.86,-9.1414,10000.00,9085.86,0,0.00,0,0.00
2020-04-07,10000.00,0.0000,0.0000,0.0000,9278.77,-7.2123,10000.00,9278.77,0,0.00,0,0.00
2020-04-08,10000.00,0.0000,0.0000,0.0000,9292.19,-7.0781,10000.00,9292.19,0,0.00,0,0.00
2020-04-12,10000.00,0.0000,0.0000,0.0000,9392.58,-6.0742,10000.00,9392.58,0,0.00,0,0.00
2020-04-13,10000.00,0.0000,0.0000,0.0000,9801.07,-1.9893,10000.00,9801.07,0,0.00,0,0.00
2020-04-14,10059.76,0.5976,0.5976,0.5976,9688.66,-3.1134,9532.50,9688.66,0,0.00,33,527.26
2020-04-15,10042.27,-0.1739,0.4227,0.4227,9865.38,-1.3462,9532.50,9865.38,0,0.00,33,509.77
2020-04-16,10069.58,0.2719,0.6958,0.6958,9959.75,-0.4025,9532.50,9959.75,0,0.00,33,537.08
2020-04-19,10083.02,0.1335,0.8302,0.8302,9841.78,-1.5822,9532.50,9841.78,0,0.00,33,550.52
2020-04-20,10065.20,-0.1767,0.6520,0.6520,9478.63,-5.2137,9532.50,9478.63,0,0.00,33,532.70
2020-04-21,10064.34,-0.0086,0.6434,0.6434,9759.90,-2.4010,10064.34,9759.90,0,0.00,0,0.00
2020-04-22,10105.45,0.4084,1.0545,1.0545,9739.08,-2.6092,9589.74,9739.08,0,0.00,33,515.71
2020-04-23,10102.06,-0.0335,1.0206,1.0206,9892.67,-1.0733,9589.74,9892.67,0,0.00,33,512.32
2020-04-26,10126.81,0.2450,1.2681,1.2681,9972.24,-0.2776,9589.74,9972.24,0,0.00,33,537.08
2020-04-27,10137.29,0.1035,1.3729,1.3729,9784.42,-2.1558,9589.74,9784.42,0,0.00,33,547.55
2020-04-28,10107.67,-0.2922,1.0767,1.0767,10131.38,1.3138,9589.74,10131.38,0,0.00,33,517.94
2020-04-29,10161.55,0.5330,1.6155,1.6155,10127.22,1.2722,9589.74,10127.22,0,0.00,33,571.81
2020-04-30,10165.34,0.0373,1.6534,1.6534,9841.78,-1.5822,9589.74,9841.78,0,0.00,33,575.60
2020-05-03,10113.70,-0.5080,1.1370,1.1370,9956.51,-0.4349,9589.74,9956.51,0,0.00,33,523.96
2020-05-04,10132.18,0.1827,1.3218,1.3218,10069.39,0.6939,9589.74,10069.39,0,0.00,33,542.44
2020-05-05,10149.50,0.1710,1.4950,1.4950,10131.38,1.3138,9589.74,10131.38,0,0.00,33,559.76
2020-05-06,10160.56,0.1089,1.6056,1.6056,10261.84,2.6184,9589.74,10261.84,0,0.00,33,570.82
2020-05-07,10182.83,0.2192,1.8283,1.8283,10402.48,4.0248,9589.74,10402.48,0,0.00,33,593.09
2020-05-10,10206.76,0.2350,2.0676,2.0676,10495.47,4.9547,9589.74,10495.47,0,0.00,33,617.02
2020-05-11,10222.10,0.1503,2.2210,2.2210,10275.72,2.7572,9589.74,10275.72,0,0.00,33,632.36
2020-05-12,10184.48,-0.3680,1.8448,1.8448,10147.11,1.4711,9589.74,10147.11,0,0.00,33,594.74
2020-05-13,10161.96,-0.2211,1.6196,1.6196,10262.31,2.6231,9589.74,10262.31,0,0.00,33,572.22
2020-05-14,10154.80,-0.0705,1.5480,1.5480,10328.92,3.2892,4165.39,10328.92,27,5989.41,0,0.00
2020-05-17,10193.68,0.3829,1.9368,1.9368,10521.37,5.2137,4165.39,10521.37,27,6028.29,0,0.00
2020-05-18,10337.58,1.4117,3.3758,3.3758,10495.00,4.9500,9624.31,10495.00,0,0.00,37,713.27
2020-05-19,10332.12,-0.0528,3.3212,3.3212,10704.57,7.0457,9624.31,10704.57,0,0.00,37,707.81
2020-05-20,10373.56,0.4011,3.7356,3.7356,10587.99,5.8799,9624.31,10587.99,0,0.00,37,749.25
2020-05-21,10350.53,-0.2220,3.5053,3.5053,10624.54,6.2454,9624.31,10624.54,0,0.00,37,726.22
2020-05-25,10357.10,0.0635,3.5710,3.5710,10595.85,5.9585,9624.31,10595.85,0,0.00,37,732.78
2020-05-26,10354.04,-0.0295,3.5404,3.5404,10653.68,6.5368,9624.31,10653.68,0,0.00,37,729.73
2020-05-27,10364.31,0.0992,3.6431,3.6431,10639.80,6.3980,9624.31,10639.80,0,0.00,37,740.00
2020-05-28,10356.72,-0.0732,3.5672,3.5672,10795.71,7.9571,4146.99,10795.71,27,6209.73,0,0.00
2020-05-31,10472.74,1.1203,4.7274,4.7274,10828.09,8.2809,9645.04,10828.09,0,0.00,40,827.70
2020-06-01,10482.94,0.0974,4.8294,4.8294,10900.72,9.0072,9645.04,10900.72,0,0.00,40,837.90
2020-06-02,10499.64,0.1593,4.9964,4.9964,10949.76,9.4976,9645.04,10949.76,0,0.00,40,854.60
2020-06-03,10511.24,0.1105,5.1124,5.1124,10872.96,8.7296,9645.04,10872.96,0,0.00,40,866.20
2020-06-04,10493.64,-0.1674,4.9364,4.9364,11088.55,10.8855,9645.04,11088.55,0,0.00,40,848.60
2020-06-07,10543.94,0.4793,5.4394,5.4394,11174.59,11.7459,9645.04,11174.59,0,0.00,40,898.90
2020-06-08,10563.94,0.1897,5.6394,5.6394,11255.55,12.5555,9645.04,11255.55,0,0.00,40,918.90
2020-06-09,10584.44,0.1941,5.8444,5.8444,11390.64,13.9064,9645.04,11390.64,0,0.00,40,939.40
2020-06-10,10618.34,0.3203,6.1834,6.1834,10826.24,8.2624,9645.04,10826.24,0,0.00,40,973.30
2020-06-11,10616.97,-0.0129,6.1697,6.1697,10912.29,9.1229,10616.97,10912.29,0,0.00,0,0.00
2020-06-14,10616.97,0.0000,6.1697,6.1697,11045.06,10.4506,10616.97,11045.06,0,0.00,0,0.00
2020-06-15,10616.97,0.0000,6.1697,6.1697,11234.73,12.3473,10616.97,11234.73,0,0.00,0,0.00
2020-06-16,10616.97,0.0000,6.1697,6.1697,11270.36,12.7036,10616.97,11270.36,0,0.00,0,0.00
2020-06-17,10616.97,0.0000,6.1697,6.1697,11300.89,13.0089,10616.97,11300.89,0,0.00,0,0.00
2020-06-18,10616.97,0.0000,6.1697,6.1697,11299.04,12.9904,10616.97,11299.04,0,0.00,0,0.00
2020-06-21,10616.97,0.0000,6.1697,6.1697,11414.69,14.1469,10616.97,11414.69,0,0.00,0,0.00
2020-06-22,10616.97,0.0000,6.1697,6.1697,11511.84,15.1184,10616.97,11511.84,0,0.00,0,0.00
2020-06-23,10637.39,0.1924,6.3739,6.3739,11274.52,12.7452,9789.09,11274.52,0,0.00,34,848.30
2020-06-24,10636.21,-0.0112,6.3621,6.3621,11381.85,13.8185,10636.21,11381.85,0,0.00,0,0.00
2020-06-25,10636.21,0.0000,6.3621,6.3621,11113.06,11.1306,10636.21,11113.06,0,0.00,0,0.00
2020-06-28,10636.21,0.0000,6.3621,6.3621,11234.27,12.3427,10636.21,11234.27,0,0.00,0,0.00
2020-06-29,10629.63,-0.0618,6.2963,6.2963,11454.48,14.5448,4315.79,11454.48,26,6313.84,0,0.00
2020-06-30,10753.39,1.1643,7.5339,7.5339,11588.18,15.8818,4315.79,11588.18,26,6437.60,0,0.00
2020-07-01,10828.53,0.6988,8.2853,8.2853,11666.82,16.6682,4315.79,11666.82,26,6512.74,0,0.00
2020-07-05,10872.73,0.4082,8.7273,8.7273,11953.65,19.5365,4315.79,11953.65,26,6556.94,0,0.00
2020-07-06,11082.81,1.9321,10.8281,10.8281,11871.30,18.7130,10251.21,11871.30,0,0.00,30,831.60
2020-07-07,11066.46,-0.1475,10.6646,10.6646,12027.66,20.2766,10251.21,12027.66,0,0.00,30,815.25
2020-07-08,11097.81,0.2833,10.9781,10.9781,12128.98,21.2898,10251.21,12128.98,0,0.00,30,846.60
2020-07-09,11118.96,0.1906,11.1896,11.1896,12211.79,22.1179,10251.21,12211.79,0,0.00,30,867.75
2020-07-12,11137.33,0.1653,11.3733,11.3733,11960.58,19.6058,10251.21,11960.58,0,0.00,30,886.12
2020-07-13,11136.14,-0.0106,11.3614,11.3614,12045.24,20.4524,11136.14,12045.24,0,0.00,0,0.00
2020-07-14,11150.44,0.1284,11.5044,11.5044,12069.76,20.6976,10414.64,12069.76,0,0.00,26,735.80
2020-07-15,11154.08,0.0326,11.5408,11.5408,11987.42,19.8742,10414.64,11987.42,0,0.00,26,739.44
2020-07-16,11138.22,-0.1422,11.3822,11.3822,12001.30,20.0130,10414.64,12001.30,0,0.00,26,723.58
2020-07-19,11130.50,-0.0693,11.3050,11.3050,12341.78,23.4178,4645.00,12341.78,25,6485.50,0,0.00
2020-07-20,11368.47,2.1380,13.6847,13.6847,12213.18,22.1318,10579.63,12213.18,0,0.00,26,788.84
2020-07-21,11343.25,-0.2218,13.4325,13.4325,12256.20,22.5620,10579.63,12256.20,0,0.00,26,763.62
2020-07-22,11335.36,-0.0696,13.3536,13.3536,11936.07,19.3607,4712.11,11936.07,25,6623.25,0,0.00
2020-07-23,11162.36,-1.5262,11.6236,11.6236,11822.72,18.2272,4712.11,11822.72,25,6450.25,0,0.00
2020-07-26,11101.11,-0.5487,11.0111,11.0111,12033.68,20.3368,4712.11,12033.68,25,6389.00,0,0.00
2020-07-27,11215.11,1.0269,12.1511,12.1511,11880.55,18.8055,4712.11,11880.55,25,6503.00,0,0.00
2020-07-28,11132.36,-0.7378,11.3236,11.3236,12017.49,20.1749,4712.11,12017.49,25,6420.25,0,0.00
2020-07-29,11206.36,0.6647,12.0636,12.0636,12080.40,20.8040,4712.11,12080.40,25,6494.25,0,0.00
2020-07-30,11240.36,0.3034,12.4036,12.4036,12295.98,22.9598,4712.11,12295.98,25,6528.25,0,0.00
2020-08-02,11356.86,1.0364,13.5686,13.5686,12462.07,24.6207,4712.11,12462.07,25,6644.75,0,0.00
2020-08-03,11446.61,0.7903,14.4661,14.4661,12508.33,25.0833,4712.11,12508.33,25,6734.50,0,0.00
2020-08-04,11474.36,0.2424,14.7436,14.7436,12539.32,25.3932,10627.64,12539.32,0,0.00,27,846.72
2020-08-05,11481.11,0.0588,14.8111,14.8111,12705.40,27.0540,10627.64,12705.40,0,0.00,27,853.47
2020-08-06,11513.78,0.2846,15.1378,15.1378,12558.75,25.5875,10627.64,12558.75,0,0.00,27,886.14
2020-08-09,11484.82,-0.2515,14.8482,14.8482,12505.09,25.0509,10627.64,12505.09,0,0.00,27,857.18
2020-08-10,11473.28,-0.1005,14.7328,14.7328,12268.23,22.6823,10627.64,12268.23,0,0.00,27,845.64
2020-08-11,11465.28,-0.0697,14.6528,14.6528,12576.79,25.7679,4835.53,12576.79,25,6629.75,0,0.00
2020-08-12,11632.03,1.4544,16.3203,16.3203,12605.48,26.0548,4835.53,12605.48,25,6796.50,0,0.00
2020-08-13,11647.53,0.1333,16.4753,16.4753,12590.67,25.9067,4835.53,12590.67,25,6812.00,0,0.00
2020-08-16,11639.53,-0.0687,16.3953,16.3953,12736.86,27.3686,4835.53,12736.86,25,6804.00,0,0.00
2020-08-17,11744.75,0.9040,17.4475,17.4475,12859.46,28.5946,10657.90,12859.46,0,0.00,33,1086.86
2020-08-18,11776.68,0.2718,17.7668,17.7668,12772.95,27.7295,10657.90,12772.95,0,0.00,33,1118.78
2020-08-19,11754.82,-0.1856,17.5482,17.5482,12950.13,29.5013,10657.90,12950.13,0,0.00,33,1096.92
2020-08-20,11799.94,0.3839,17.9994,17.9994,13039.88,30.3988,10657.90,13039.88,0,0.00,33,1142.05
2020-08-23,11823.79,0.2021,18.2379,18.2379,13121.30,31.2130,10657.90,13121.30,0,0.00,33,1165.89
2020-08-24,11845.40,0.1828,18.4540,18.4540,13224.46,32.2446,10657.90,13224.46,0,0.00,33,1187.50
2020-08-25,11873.12,0.2340,18.7312,18.7312,13506.66,35.0666,10657.90,13506.66,0,0.00,33,1215.22
2020-08-26,11871.57,-0.0130,18.7157,18.7157,13464.56,34.6456,11871.57,13464.56,0,0.00,0,0.00
2020-08-27,11871.57,0.0000,18.7157,18.7157,13533.03,35.3303,11871.57,13533.03,0,0.00,0,0.00
2020-08-30,11887.56,0.1346,18.8756,18.8756,13641.75,36.4175,10744.16,13641.75,0,0.00,29,1143.40
2020-08-31,11886.13,-0.0121,18.8613,18.8613,13874.91,38.7491,11886.13,13874.91,0,0.00,0,0.00
2020-09-01,11886.13,0.0000,18.8613,18.8613,14006.29,40.0629,11886.13,14006.29,0,0.00,0,0.00
2020-09-02,11886.13,0.0000,18.8613,18.8613,13296.17,32.9617,11886.13,13296.17,0,0.00,0,0.00
2020-09-03,11886.13,0.0000,18.8613,18.8613,13118.99,31.1899,11886.13,13118.99,0,0.00,0,0.00
2020-09-07,11886.13,0.0000,18.8613,18.8613,12488.43,24.8843,11886.13,12488.43,0,0.00,0,0.00
2020-09-08,11886.13,0.0000,18.8613,18.8613,12855.29,28.5529,11886.13,12855.29,0,0.00,0,0.00
2020-09-09,11886.13,0.0000,18.8613,18.8613,12599.00,25.9900,11886.13,12599.00,0,0.00,0,0.00
2020-09-10,11886.13,0.0000,18.8613,18.8613,12511.57,25.1157,11886.13,12511.57,0,0.00,0,0.00
2020-09-13,11886.13,0.0000,18.8613,18.8613,12729.46,27.2946,11886.13,12729.46,0,0.00,0,0.00
2020-09-14,11879.00,-0.0600,18.7900,18.7900,12909.88,29.0988,5000.00,12909.88,25,6879.00,0,0.00
2020-09-15,11976.50,0.8208,19.7650,19.7650,12704.02,27.0402,5000.00,12704.02,25,6976.50,0,0.00
2020-09-16,11865.25,-0.9289,18.6525,18.6525,12505.55,25.0555,5000.00,12505.55,25,6865.25,0,0.00
2020-09-17,11750.99,-0.9630,17.5099,17.5099,12345.95,23.4595,11750.99,12345.95,0,0.00,0,0.00
2020-09-20,11743.79,-0.0613,17.4379,17.4379,12375.56,23.7556,4805.17,12375.56,26,6938.62,0,0.00
2020-09-21,11753.21,0.0803,17.5321,17.5321,12605.48,26.0548,11753.21,12605.48,0,0.00,0,0.00
2020-09-22,11753.21,0.0000,17.5321,17.5321,12220.58,22.2058,11753.21,12220.58,0,0.00,0,0.00
2020-09-23,11753.21,0.0000,17.5321,17.5321,12277.48,22.7748,11753.21,12277.48,0,0.00,0,0.00
2020-09-24,11753.21,0.0000,17.5321,17.5321,12562.92,25.6292,11753.21,12562.92,0,0.00,0,0.00
2020-09-27,11746.18,-0.0599,17.4618,17.4618,12823.83,28.2383,4957.18,12823.83,25,6789.00,0,0.00
2020-09-28,11887.18,1.2004,18.8718,18.8718,12766.01,27.6601,4957.18,12766.01,25,6930.00,0,0.00
2020-09-29,11855.93,-0.2629,18.5593,18.5593,12853.44,28.5344,4957.18,12853.44,25,6898.75,0,0.00
2020-09-30,11909.02,0.4479,19.0902,19.0902,13057.46,30.5746,11189.07,13057.46,0,0.00,22,719.95
2020-10-01,11908.08,-0.0079,19.0808,19.0808,12690.14,26.9014,11908.08,12690.14,0,0.00,0,0.00
2020-10-04,11908.08,0.0000,19.0808,19.0808,12960.77,29.6077,11908.08,12960.77,0,0.00,0,0.00
2020-10-05,11908.08,0.0000,19.0808,19.0808,12729.46,27.2946,11908.08,12729.46,0,0.00,0,0.00
2020-10-06,11908.08,0.0000,19.0808,19.0808,12949.67,29.4967,11908.08,12949.67,0,0.00,0,0.00
2020-10-07,11908.08,0.0000,19.0808,19.0808,13018.60,30.1860,11908.08,13018.60,0,0.00,0,0.00
2020-10-08,11918.36,0.0863,19.1836,19.1836,13217.52,32.1752,11141.59,13217.52,0,0.00,23,776.77
2020-10-11,11952.92,0.2900,19.5292,19.5292,13625.56,36.2556,11141.59,13625.56,0,0.00,23,811.32
2020-10-12,12028.59,0.6331,20.2859,20.2859,13625.09,36.2509,11141.59,13625.09,0,0.00,23,887.00
2020-10-13,12028.70,0.0010,20.2870,20.2870,13511.29,35.1129,11141.59,13511.29,0,0.00,23,887.11
2020-10-14,12006.79,-0.1821,20.0679,20.0679,13420.61,34.2061,11141.59,13420.61,0,0.00,23,865.20
