Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$23,375.38",+$-275.16
Performance,Total_Return,136.51%,133.75%,+-2.75%
Performance,Annualized_Return,18.80%,18.52%,+-0.28%
Risk,Sharpe_Ratio,N/A,4.84,N/A
Risk,Max_Drawdown,N/A,-5.57%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.98x,-2.02%
Comparison,Excess_Return,0.00%,-2.75%,-2.75%
Comparison,Return_Ratio,1.00:1,0.98:1,N/A
