Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_ADX,Indicator_EMA_fast,Indicator_EMA_slow,Threshold_adx_threshold_high,Threshold_adx_threshold_low,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
1,2010-03-08 22:00:00,79,"Regime 1: Strong Bullish (ADX > 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=34.58 (Strong trend)",34.578598390003464,45.23735352117203,45.15185142012403,25.0,20.0,MARKET,11291,0.521875354,5892.494622014,0.0,112.91,10000.0,9881.203391986,10000.0,3994.595377986,CASH: 100.0%,"CASH: 40.4%, TQQQ: 59.6%",-1.18796608014
2,2010-04-25 22:00:00,178,"Regime 2: Building Bullish (20 < ADX <= 25, EMA_fast > EMA_slow)",TQQQ,SELL,"EMA_fast > EMA_slow, ADX=24.36 (Building trend)",24.35660748395269,49.30533479645407,47.68912912590941,25.0,20.0,MARKET,11291,0.666571761,7526.261753451,0.0,112.91,11528.390926986,11407.947131437,3994.595377986,11407.947131437,"CASH: 34.7%, TQQQ: 65.3%",CASH: 100.0%,14.07947131437
3,2010-04-25 22:00:00,178,"Regime 2: Building Bullish (20 < ADX <= 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=24.36 (Building trend)",24.35660748395269,49.30533479645407,47.68912912590941,25.0,20.0,MARKET,5053,0.667906239,3374.930225667,0.0,50.53,11407.947131437,11354.04557277,11407.947131437,7982.48690577,CASH: 100.0%,"CASH: 70.3%, TQQQ: 29.7%",13.5404557277
4,2010-04-26 22:00:00,181,"Regime 1: Strong Bullish (ADX > 25, EMA_fast > EMA_slow)",TQQQ,SELL,"EMA_fast > EMA_slow, ADX=25.31 (Strong trend)",25.311691454760133,49.309795438695126,47.79649295316167,25.0,20.0,MARKET,5053,0.66058875,3337.95495375,0.0,50.53,11323.78315577,11269.91185952,7982.48690577,11269.91185952,"CASH: 70.5%, TQQQ: 29.5%",CASH: 100.0%,12.6991185952
5,2010-04-26 22:00:00,181,"Regime 1: Strong Bullish (ADX > 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=25.31 (Strong trend)",25.311691454760133,49.309795438695126,47.79649295316167,25.0,20.0,MARKET,10073,0.66191125,6667.43202125,0.0,100.73,11269.91185952,11162.52108827,11269.91185952,4501.74983827,CASH: 100.0%,"CASH: 40.3%, TQQQ: 59.7%",11.6252108827
6,2010-04-28 22:00:00,187,"Regime 2: Building Bullish (20 < ADX <= 25, EMA_fast > EMA_slow)",TQQQ,SELL,"EMA_fast > EMA_slow, ADX=24.04 (Building trend)",24.03635322834098,49.40408386852431,48.0069579247353,25.0,20.0,MARKET,10073,0.620368011,6248.966974803,0.0,100.73,10756.97203527,10649.986813073,4501.74983827,10649.986813073,"CASH: 41.8%, TQQQ: 58.2%",CASH: 100.0%,6.49986813073
7,2010-04-28 22:00:00,187,"Regime 2: Building Bullish (20 < ADX <= 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=24.04 (Building trend)",24.03635322834098,49.40408386852431,48.0069579247353,25.0,20.0,MARKET,5063,0.621609989,3147.211374307,0.0,50.63,10649.986813073,10596.212745766,10649.986813073,7452.145438766,CASH: 100.0%,"CASH: 70.3%, TQQQ: 29.7%",5.96212745766
8,2010-05-03 22:00:00,196,"Regime 1: Strong Bullish (ADX > 25, EMA_fast > EMA_slow)",TQQQ,SELL,"EMA_fast > EMA_slow, ADX=26.22 (Strong trend)",26.22298806593364,49.341118592759855,48.03748517830685,25.0,20.0,MARKET,5063,0.640764594,3244.191139422,0.0,50.63,10699.584016766,10645.706578188,7452.145438766,10645.706578188,"CASH: 69.6%, TQQQ: 30.4%",CASH: 100.0%,6.45706578188
9,2010-05-03 22:00:00,196,"Regime 1: Strong Bullish (ADX > 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=26.22 (Strong trend)",26.22298806593364,49.341118592759855,48.03748517830685,25.0,20.0,MARKET,9805,0.642047406,6295.27481583,0.0,98.05,10645.706578188,10541.367592358,10645.706578188,4252.381762358,CASH: 100.0%,"CASH: 40.3%, TQQQ: 59.7%",5.41367592358
10,2010-05-18 22:00:00,228,Liquidating TQQQ position (regime change),TQQQ,SELL,"EMA_fast < EMA_slow, ADX=49.58 (Strong trend)",49.57975585369878,47.822035435572566,47.84098778271921,25.0,20.0,MARKET,9805,0.504598896,4947.59217528,0.0,98.05,9204.926482358,9101.923937638,4252.381762358,9101.923937638,"CASH: 46.2%, TQQQ: 53.8%",CASH: 100.0%,-8.98076062362
11,2010-07-29 22:00:00,377,"Regime 2: Building Bullish (20 < ADX <= 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=21.11 (Building trend)",21.108407937241385,45.40158540404948,45.401271313160315,25.0,20.0,MARKET,5743,0.465882417,2675.562720831,0.0,57.43,9101.923937638,9041.821047807,9101.923937638,6368.931216807,CASH: 100.0%,"CASH: 70.4%, TQQQ: 29.6%",-9.58178952193
12,2010-08-02 22:00:00,383,Liquidating TQQQ position (regime change),TQQQ,SELL,"EMA_fast > EMA_slow, ADX=20.00 (Weak trend)",19.999000083866257,45.61586779112201,45.60393733063211,25.0,20.0,MARKET,5743,0.494244261,2838.444790923,0.0,57.43,9210.217293807,9149.94600773,6368.931216807,9149.94600773,"CASH: 69.2%, TQQQ: 30.8%",CASH: 100.0%,-8.5005399227
13,2010-08-02 22:00:00,383,"Regime 5: Weak Bullish (ADX <= 20, EMA_fast > EMA_slow)",QQQ,BUY,"EMA_fast > EMA_slow, ADX=20.00 (Weak trend)",19.999000083866257,45.61586779112201,45.60393733063211,25.0,20.0,MARKET,98,46.51647,4558.61406,0.0,0.98,9149.94600773,9144.41194773,9149.94600773,4590.35194773,CASH: 100.0%,"CASH: 50.2%, QQQ: 49.8%",-8.5558805227
14,2010-08-03 22:00:00,386,Liquidating QQQ position (regime change),QQQ,SELL,"EMA_fast > EMA_slow, ADX=20.81 (Building trend)",20.811159536432065,45.7416618258076,45.65171906768349,25.0,20.0,MARKET,98,46.891062,4595.324076,0.0,0.98,9190.27594773,9184.69602373,4590.35194773,9184.69602373,"CASH: 49.9%, QQQ: 50.1%",CASH: 100.0%,-8.1530397627
15,2010-08-03 22:00:00,386,"Regime 2: Building Bullish (20 < ADX <= 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=20.81 (Building trend)",20.811159536432065,45.7416618258076,45.65171906768349,25.0,20.0,MARKET,5521,0.489552063,2702.816939823,0.0,55.21,9184.69602373,9126.785906907,9184.69602373,6426.669083907,CASH: 100.0%,"CASH: 70.4%, TQQQ: 29.6%",-8.73214093093
16,2010-08-05 22:00:00,392,Liquidating TQQQ position (regime change),TQQQ,SELL,"EMA_fast > EMA_slow, ADX=18.81 (Weak trend)",18.813350213880227,45.93253534543903,45.748164891761874,25.0,20.0,MARKET,5521,0.499031469,2755.152740349,0.0,55.21,9184.579734907,9126.611824256,6426.669083907,9126.611824256,"CASH: 70.0%, TQQQ: 30.0%",CASH: 100.0%,-8.73388175744
17,2010-08-05 22:00:00,392,"Regime 5: Weak Bullish (ADX <= 20, EMA_fast > EMA_slow)",QQQ,BUY,"EMA_fast > EMA_slow, ADX=18.81 (Weak trend)",18.813350213880227,45.93253534543903,45.748164891761874,25.0,20.0,MARKET,97,46.80676,4540.25572,0.0,0.97,9126.611824256,9121.106104256,9126.611824256,4585.386104256,CASH: 100.0%,"CASH: 50.3%, QQQ: 49.7%",-8.78893895744
18,2010-08-11 22:00:00,404,Liquidating QQQ position (regime change),QQQ,SELL,"EMA_fast > EMA_slow, ADX=23.69 (Building trend)",23.692733368756496,45.93653058976798,45.63542721042987,25.0,20.0,MARKET,97,44.99496,4364.51112,0.0,0.97,8954.266104256,8948.927224256,4585.386104256,8948.927224256,"CASH: 51.2%, QQQ: 48.8%",CASH: 100.0%,-10.51072775744
19,2010-08-11 22:00:00,404,"Regime 2: Building Bullish (20 < ADX <= 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=23.69 (Building trend)",23.692733368756496,45.93653058976798,45.63542721042987,25.0,20.0,MARKET,5800,0.453265813,2628.9417154,0.0,58.0,8948.927224256,8888.300908856,8948.927224256,6261.985508856,CASH: 100.0%,"CASH: 70.5%, TQQQ: 29.5%",-11.11699091144
20,2010-08-12 22:00:00,407,"Regime 1: Strong Bullish (ADX > 25, EMA_fast > EMA_slow)",TQQQ,SELL,"EMA_fast > EMA_slow, ADX=27.25 (Strong trend)",27.249147477502405,45.816453039501404,45.44445004884937,25.0,20.0,MARKET,5800,0.442577979,2566.9522782,0.0,58.0,8831.507308856,8770.937787056,6261.985508856,8770.937787056,"CASH: 70.9%, TQQQ: 29.1%",CASH: 100.0%,-12.29062212944
21,2010-08-12 22:00:00,407,"Regime 1: Strong Bullish (ADX > 25, EMA_fast > EMA_slow)",TQQQ,BUY,"EMA_fast > EMA_slow, ADX=27.25 (Strong trend)",27.249147477502405,45.816453039501404,45.44445004884937,25.0,20.0,MARKET,11616,0.443464021,5151.278067936,0.0,116.16,8770.937787056,8649.63165512,8770.937787056,3503.49971912,CASH: 100.0%,"CASH: 40.5%, TQQQ: 59.5%",-13.5036834488
