Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_EMA_100,Indicator_MACD_Line,Indicator_Price,Indicator_Signal_Line,Indicator_VIX,Threshold_ATR_Stop_Multiplier,Threshold_EMA_Period,Threshold_Risk_Per_Trade,Threshold_VIX_Kill_Switch,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
1,2019-02-10 22:00:00,110,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(168.40) > EMA(158.74), MACD(2.9037) > 0, VIX(15.97) <= 30.0",158.73817528723436,2.903666613366994,168.4,2.803012165632156,15.97,2.0,100.0,0.025,30.0,MARKET,2446,11.8193075,28910.026145,0.0,0.0,100000.0,99971.118855,100000.0,71089.973855,CASH: 100.0%,"CASH: 71.1%, TQQQ: 28.9%",-0.028881145
2,2019-05-13 22:00:00,366,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(180.54) > EMA(175.97), MACD(-0.2097) <= 0, VIX(18.06) <= 30.0",175.96786328059022,-0.20971999172616052,180.54,1.2743116633920566,18.06,2.0,100.0,0.025,30.0,MARKET,2446,13.691295,33488.90757,0.0,0.0,104612.403855,104578.881425,71089.973855,104578.881425,"CASH: 68.0%, TQQQ: 32.0%",CASH: 100.0%,4.578881425
3,2019-06-16 22:00:00,458,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(183.74) > EMA(178.01), MACD(0.1381) > 0, VIX(15.35) <= 30.0",178.01075724466506,0.1380764021623122,183.74,-0.8698452601432228,15.35,2.0,100.0,0.025,30.0,MARKET,2385,14.4219075,34396.2493875,0.0,0.0,104578.881425,104544.5195375,104578.881425,70182.6320375,CASH: 100.0%,"CASH: 67.1%, TQQQ: 32.9%",4.5445195375
4,2019-08-04 22:00:00,594,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(180.73) <= EMA(185.22), MACD(-0.0756) <= 0, VIX(24.59) <= 30.0",185.22444428484215,-0.0755525904892238,180.73,1.389321212307682,24.59,2.0,100.0,0.025,30.0,MARKET,2385,15.41457,36763.74945,0.0,0.0,106983.1820375,106946.3814875,70182.6320375,106946.3814875,"CASH: 65.6%, TQQQ: 34.4%",CASH: 100.0%,6.9463814875
5,2019-09-04 22:00:00,682,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(191.78) > EMA(186.43), MACD(0.0264) > 0, VIX(16.27) <= 30.0",186.4294105853985,0.02642416631030642,191.78,-0.6087599593607778,16.27,2.0,100.0,0.025,30.0,MARKET,1856,15.3153,28425.1968,0.0,0.0,106946.3814875,106917.9846875,106946.3814875,78521.1846875,CASH: 100.0%,"CASH: 73.4%, TQQQ: 26.6%",6.9179846875
6,2019-09-23 22:00:00,734,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(187.97) <= EMA(188.12), MACD(0.7970) > 0, VIX(17.05) <= 30.0",188.11949743517894,0.7969516473247324,187.97,1.0509296339733387,17.05,2.0,100.0,0.025,30.0,MARKET,1856,15.85413,29425.26528,0.0,0.0,107975.9046875,107946.4499675,78521.1846875,107946.4499675,"CASH: 72.7%, TQQQ: 27.3%",CASH: 100.0%,7.9464499675
7,2019-09-24 22:00:00,738,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(190.08) > EMA(188.22), MACD(0.6898) > 0, VIX(15.96) <= 30.0",188.21704063542782,0.689841520941826,190.08,0.9785702333748207,15.96,2.0,100.0,0.025,30.0,MARKET,2404,15.2577425,36679.61297,0.0,0.0,107946.4499675,107909.8069975,107946.4499675,71266.8369975,CASH: 100.0%,"CASH: 66.0%, TQQQ: 34.0%",7.9098069975
8,2019-09-26 22:00:00,746,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(187.03) <= EMA(188.41), MACD(0.2327) > 0, VIX(17.22) <= 30.0",188.409187302269,0.23274882997520763,187.03,0.7591737691040314,17.22,2.0,100.0,0.025,30.0,MARKET,2404,15.5569275,37398.85371,0.0,0.0,108703.1269975,108665.6907075,71266.8369975,108665.6907075,"CASH: 65.6%, TQQQ: 34.4%",CASH: 100.0%,8.6656907075
9,2019-09-29 22:00:00,750,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(188.81) > EMA(188.50), MACD(0.1297) > 0, VIX(16.24) <= 30.0",188.5024363624807,0.12967769517803163,188.81,0.6330685749715598,16.24,2.0,100.0,0.025,30.0,MARKET,2010,15.0225075,30195.240075,0.0,0.0,108665.6907075,108635.5256325,108665.6907075,78470.4506325,CASH: 100.0%,"CASH: 72.2%, TQQQ: 27.8%",8.6355256325
10,2019-09-30 22:00:00,754,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(187.27) <= EMA(188.50), MACD(-0.0753) <= 0, VIX(18.56) <= 30.0",188.49686683757878,-0.07530146461758136,187.27,0.4913490910939719,18.56,2.0,100.0,0.025,30.0,MARKET,2010,15.3920925,30938.105925,0.0,0.0,109439.5256325,109408.5565575,78470.4506325,109408.5565575,"CASH: 71.7%, TQQQ: 28.3%",CASH: 100.0%,9.4085565575
