Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_Histogram,Indicator_Histogram_Delta,Indicator_MACD_Line,Indicator_Signal_Line,Indicator_VIX,Threshold_ATR_Stop_Multiplier,Threshold_Risk_Strong_Trend,Threshold_Risk_Waning_Trend,Threshold_VIX_Kill_Switch,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
1,2024-01-24 22:00:00,66,"Regime 3: Waning Bull (Histogram > 0, Delta ≤ 0)",TQQQ,BUY,"Histogram=2.2246, Delta=-0.0293, VIX=13.45",2.224620673265522,-0.029340257524794,5.736547709084391,3.5119270358188692,13.45,2.0,0.03,0.015,30.0,MARKET,26,56.37632,1465.78432,0.0,0.26,100000.0,99998.27568,100000.0,98533.95568,CASH: 100.0%,"CASH: 98.5%, TQQQ: 1.5%",-0.00172432
2,2024-01-30 22:00:00,84,Stop-Loss Triggered,TQQQ,SELL,Price breached stop at 52.58,0.5937007169315649,-0.8776741210780763,5.55339017262952,4.959689455697955,14.35,2.0,0.03,0.015,30.0,MARKET,26,52.58736,1367.27136,0.0,0.26,99902.59568,99900.96704,98533.95568,99900.96704,"CASH: 98.6%, TQQQ: 1.4%",CASH: 100.0%,-0.09903296
3,2024-01-31 22:00:00,86,"Regime 3: Waning Bull (Histogram > 0, Delta ≤ 0)",TQQQ,BUY,"Histogram=0.2806, Delta=-0.3131, VIX=13.88",0.2805969958860821,-0.3131037210454828,5.3104357005555585,5.029838704669476,13.88,2.0,0.03,0.015,30.0,MARKET,28,52.69264,1475.39392,0.0,0.28,99900.96704,99899.21312,99900.96704,98425.29312,CASH: 100.0%,"CASH: 98.5%, TQQQ: 1.5%",-0.10078688
4,2024-02-01 22:00:00,90,"Regime 2: Strong Bull (Histogram > 0, Delta > 0)",TQQQ,SELL,"Histogram=0.4788, Delta=0.1982, VIX=13.85",0.47880415483410577,0.19820715894802368,5.628343898212108,5.149539743378003,13.85,2.0,0.03,0.015,30.0,MARKET,28,54.4455,1524.474,0.0,0.28,99951.29312,99949.48712,98425.29312,99949.48712,"CASH: 98.5%, TQQQ: 1.5%",CASH: 100.0%,-0.05051288
5,2024-02-01 22:00:00,90,"Regime 2: Strong Bull (Histogram > 0, Delta > 0)",TQQQ,BUY,"Histogram=0.4788, Delta=0.1982, VIX=13.85",0.47880415483410577,0.19820715894802368,5.628343898212108,5.149539743378003,13.85,2.0,0.03,0.015,30.0,MARKET,55,54.5545,3000.4975,0.0,0.55,99949.48712,99945.93962,99949.48712,96948.43962,CASH: 100.0%,"CASH: 97.0%, TQQQ: 3.0%",-0.05406038
6,2024-02-05 22:00:00,98,"Regime 3: Waning Bull (Histogram > 0, Delta ≤ 0)",TQQQ,SELL,"Histogram=0.3766, Delta=-0.1186, VIX=13.06",0.3766392838495518,-0.11861231070191904,5.744151746827811,5.367512462978259,13.06,2.0,0.03,0.015,30.0,MARKET,55,56.89305,3129.11775,0.0,0.55,100080.68962,100077.00737,96948.43962,100077.00737,"CASH: 96.9%, TQQQ: 3.1%",CASH: 100.0%,0.07700737
7,2024-02-05 22:00:00,98,"Regime 3: Waning Bull (Histogram > 0, Delta ≤ 0)",TQQQ,BUY,"Histogram=0.3766, Delta=-0.1186, VIX=13.06",0.3766392838495518,-0.11861231070191904,5.744151746827811,5.367512462978259,13.06,2.0,0.03,0.015,30.0,MARKET,26,57.00695,1482.1807,0.0,0.26,100077.00737,100075.26667,100077.00737,98594.56667,CASH: 100.0%,"CASH: 98.5%, TQQQ: 1.5%",0.07526667
8,2024-02-06 22:00:00,102,"Regime 2: Strong Bull (Histogram > 0, Delta > 0)",TQQQ,SELL,"Histogram=0.5144, Delta=0.1378, VIX=12.83",0.5144144660182937,0.1377751821687419,6.010530545501126,5.4961160794828325,12.83,2.0,0.03,0.015,30.0,MARKET,26,56.56338,1470.64788,0.0,0.26,100066.68667,100064.95455,98594.56667,100064.95455,"CASH: 98.5%, TQQQ: 1.5%",CASH: 100.0%,0.06495455
9,2024-02-06 22:00:00,102,"Regime 2: Strong Bull (Histogram > 0, Delta > 0)",TQQQ,BUY,"Histogram=0.5144, Delta=0.1378, VIX=12.83",0.5144144660182937,0.1377751821687419,6.010530545501126,5.4961160794828325,12.83,2.0,0.03,0.015,30.0,MARKET,53,56.67662,3003.86086,0.0,0.53,100064.95455,100061.42369,100064.95455,97060.56369,CASH: 100.0%,"CASH: 97.0%, TQQQ: 3.0%",0.06142369
10,2024-02-11 22:00:00,114,"Regime 3: Waning Bull (Histogram > 0, Delta ≤ 0)",TQQQ,SELL,"Histogram=0.7414, Delta=-0.0615, VIX=13.93",0.7414102091483077,-0.0614736908271771,6.767287294559139,6.025877085410832,13.93,2.0,0.03,0.015,30.0,MARKET,53,60.20973,3191.11569,0.0,0.53,100254.87369,100251.14938,97060.56369,100251.14938,"CASH: 96.8%, TQQQ: 3.2%",CASH: 100.0%,0.25114938
11,2024-02-11 22:00:00,114,"Regime 3: Waning Bull (Histogram > 0, Delta ≤ 0)",TQQQ,BUY,"Histogram=0.7414, Delta=-0.0615, VIX=13.93",0.7414102091483077,-0.0614736908271771,6.767287294559139,6.025877085410832,13.93,2.0,0.03,0.015,30.0,MARKET,24,60.33027,1447.92648,0.0,0.24,100251.14938,100249.4629,100251.14938,98802.9829,CASH: 100.0%,"CASH: 98.6%, TQQQ: 1.4%",0.2494629
12,2024-02-12 22:00:00,120,Stop-Loss Triggered,TQQQ,SELL,Price breached stop at 56.51,0.17575503392428793,-0.5656551752240198,6.245570877816192,6.069815843891904,15.85,2.0,0.03,0.015,30.0,MARKET,24,56.68326,1360.39824,0.0,0.24,100164.7429,100163.14114,98802.9829,100163.14114,"CASH: 98.6%, TQQQ: 1.4%",CASH: 100.0%,0.16314114
